commercial_id,base_year_quarter_code,commercial_code,commercial_name,total_flow,age_20_flow,age_30_flow,age_40_flow,age_60_plus_flow,flow_06_11,flow_11_14,flow_14_17,flow_17_21,age_20_40_flow,age_20_40_ratio,age_60_plus_ratio,morning_flow_score,afternoon_flow_score
20254_3001496,20254,3001496,강남 마이스 관광특구,109921,21760,29582,25319,9343,20525,26812,27794,23322,76661,0.697419,0.084997,0.186725,0.708946
20254_3001495,20254,3001495,잠실 관광특구,4226024,974324,1043765,726236,551150,743839,620593,667575,926500,2744325,0.649387,0.130418,0.176014,0.524055
20254_3001494,20254,3001494,종로?청계 관광특구,8405499,1499669,1649406,1645150,1824329,1617825,1702449,1747276,1718489,4794225,0.570368,0.21704,0.192472,0.614861
20254_3001493,20254,3001493,동대문패션타운 관광특구,3312549,617894,705563,673858,607742,648604,526939,538330,638904,1997315,0.602954,0.183467,0.195802,0.51446
20254_3001492,20254,3001492,명동 남대문 북창동 다동 무교동 관광특구,7288146,1248220,1656377,1666727,1152561,1475904,1769988,1781613,1449540,4571324,0.627227,0.158142,0.202507,0.686202
20254_3001491,20254,3001491,이태원 관광특구,2152318,532583,532245,398094,296461,366640,285182,304450,408497,1462922,0.679696,0.13774,0.170347,0.463746
20254_3130327,20254,3130327,"평화시장(남평화시장, 제일평화시장, 신평화패션타운)",58826,8233,12718,13627,11659,11733,8725,8280,9164,34578,0.587801,0.198195,0.199453,0.444854
20254_3130326,20254,3130326,고덕 골목형상점가,88263,7118,14448,18925,20706,19451,10624,10986,16545,40491,0.458754,0.234594,0.220375,0.432288
20254_3130325,20254,3130325,명일전통시장,294499,29693,38766,48497,82452,56671,39847,41080,61461,116956,0.397135,0.279974,0.192432,0.483492
20254_3130324,20254,3130324,길동복조리시장,559312,60977,79703,93560,159317,113191,60067,57416,88150,234240,0.4188,0.284845,0.202375,0.367653
20254_3130323,20254,3130323,둔촌역전통시장,292778,32537,42534,49718,80722,55293,30130,30728,44862,124789,0.426224,0.275711,0.188856,0.361093
20254_3130322,20254,3130322,고분다리전통시장,100440,12887,14345,14304,30348,19808,10546,10522,16312,41536,0.41354,0.302151,0.197212,0.372162
20254_3130321,20254,3130321,장신구 특화거리 상점가,294449,32340,39455,50120,66184,63536,41074,37950,48601,121915,0.414045,0.224772,0.215779,0.433437
20254_3130320,20254,3130320,암사종합시장,229360,26385,33542,37720,68295,39640,30544,34847,50327,97647,0.425737,0.297763,0.172829,0.504526
20254_3130319,20254,3130319,성내전통시장,647635,67773,101787,108630,163616,129165,66821,71226,108316,278190,0.429548,0.252636,0.199441,0.380404
20254_3130318,20254,3130318,로데오거리상점가,493325,99475,104973,76973,95339,85619,69506,77752,110662,281421,0.570458,0.193258,0.173555,0.52282
20254_3130317,20254,3130317,마천중앙시장,597475,54340,71599,82146,201462,117731,67375,68956,98534,208085,0.348274,0.337189,0.197048,0.393096
20254_3130316,20254,3130316,마천시장,74876,6983,9334,10535,24670,14837,7876,7705,11608,26852,0.35862,0.329478,0.198154,0.36312
20254_3130315,20254,3130315,문정동 로데오거리 상점가(문정동 로데오거리),627169,91007,128609,105949,124815,129201,85805,85888,109464,325565,0.519103,0.199013,0.206007,0.448295
20254_3130314,20254,3130314,풍납시장,1204629,150407,199209,172689,346458,242047,141577,143800,210686,522305,0.433582,0.287606,0.200931,0.411797
20254_3130313,20254,3130313,방이시장,999799,142147,214219,178270,208232,204937,108783,108457,155618,534636,0.534743,0.208274,0.204978,0.372933
20254_3130312,20254,3130312,석촌시장,259879,27942,48369,47020,50877,50212,36304,36579,51079,123331,0.474571,0.195772,0.193213,0.476999
20254_3130311,20254,3130311,새마을시장,958227,140162,167477,175990,180007,175945,113045,124612,193103,483629,0.504712,0.187854,0.183615,0.449539
20254_3130310,20254,3130310,강남개포시장,230311,19220,23968,38484,54340,45470,41712,44686,54797,81672,0.354616,0.235942,0.197429,0.613062
20254_3130309,20254,3130309,은마종합상점가,40236,2823,2884,8015,7355,7840,4789,5265,6460,13722,0.341038,0.182797,0.19485,0.410428
20254_3130308,20254,3130308,청담삼익시장,30741,3622,6013,6518,5426,7005,4121,3996,4232,16153,0.525455,0.176507,0.227872,0.401711
20254_3130307,20254,3130307,도곡시장,63979,5431,5074,13612,6768,11371,10141,12970,15963,24117,0.376952,0.105785,0.17773,0.610732
20254_3130306,20254,3130306,강남언주로,250898,47995,71713,58777,29803,55616,38455,35985,36962,178485,0.711385,0.118785,0.221668,0.444013
20254_3130305,20254,3130305,논현종합시장,26609,5032,6845,5684,3459,5833,4402,4368,4747,17561,0.659965,0.129994,0.219212,0.507986
20254_3130304,20254,3130304,신사상가,20530,1385,1892,3746,4531,4265,2091,1985,2602,7023,0.342085,0.220701,0.207745,0.32528
20254_3130303,20254,3130303,영동전통시장,368682,78478,94070,79601,50107,67605,55023,56726,79882,252149,0.68392,0.135908,0.183369,0.519773
20254_3130302,20254,3130302,강남시장(강남구 강남시장),49926,11074,12018,11117,5275,8999,8657,8870,10715,34209,0.685194,0.105656,0.180247,0.565677
20254_3130301,20254,3130301,양재시장,59329,8100,12260,10604,12011,11991,8767,8628,10389,30964,0.521903,0.202447,0.20211,0.468304
20254_3130296,20254,3130296,남부종합시장,35521,3889,4842,6465,7868,7160,3637,3641,5389,15196,0.427803,0.221503,0.201571,0.356606
20254_3130295,20254,3130295,인헌시장(원당종합시장),276864,57758,53755,40202,59963,50223,32807,37069,59011,151715,0.547977,0.216579,0.1814,0.465525
20254_3130294,20254,3130294,관악중부시장,452210,70585,75328,60457,103446,92706,57720,62281,80988,206370,0.456359,0.228757,0.205007,0.444459
20254_3130293,20254,3130293,봉천중앙시장,101743,25655,21953,13805,19274,21325,13562,13587,18405,61413,0.603609,0.189438,0.209597,0.447736
20254_3130292,20254,3130292,봉천현대시장,97677,13340,16418,15897,19058,18257,12978,14399,20366,45655,0.467408,0.195112,0.186912,0.488784
20254_3130291,20254,3130291,봉천제일종합시장,26277,7694,5247,3128,5362,5228,2943,2948,4533,16069,0.611523,0.204057,0.198957,0.396697
20254_3130290,20254,3130290,영림시장,431348,117085,86038,56107,86719,84564,50960,52837,82470,259230,0.600976,0.201042,0.196046,0.431825
20254_3130289,20254,3130289,봉일시장,59093,12965,11032,8446,12242,11167,6862,7336,11643,32443,0.549016,0.207165,0.188973,0.437294
20254_3130288,20254,3130288,신림현대종합상가,15701,2420,2757,2321,4571,3112,1833,2203,3335,7498,0.477549,0.291128,0.198204,0.469461
20254_3130287,20254,3130287,삼성동 시장(삼성동시장),1107185,294349,188910,146451,265573,209272,137253,144242,214270,629710,0.568749,0.239863,0.189013,0.447771
20254_3130286,20254,3130286,신신림시장(삼성동시장),101310,27366,17116,13175,24618,19004,12004,12246,19915,57657,0.569115,0.242997,0.187583,0.435939
20254_3130285,20254,3130285,서원동상점가,918412,309050,213390,119517,116163,151715,122600,139623,223271,641957,0.698986,0.126482,0.165193,0.528623
20254_3130284,20254,3130284,관악종합시장(신원시장),58187,15004,13273,8322,10299,11112,6403,6847,10466,36599,0.628989,0.176998,0.19097,0.407582
20254_3130283,20254,3130283,신원시장,632318,180869,147223,88087,106796,111432,75426,85057,139498,416179,0.65818,0.168896,0.176228,0.474415
20254_3130282,20254,3130282,난곡 골목형상점가,71374,8590,10509,11413,19822,14906,7322,7181,10555,30512,0.427495,0.27772,0.208844,0.35108
20254_3130281,20254,3130281,우림시장,48818,5743,7661,7698,13398,9686,5025,4870,7759,21102,0.432259,0.274448,0.19841,0.361629
20254_3130280,20254,3130280,신림종합시장,35161,8910,7357,4896,7133,6979,3454,3595,5722,21163,0.601888,0.202867,0.198487,0.363215
20254_3130279,20254,3130279,관악신사시장,612753,163243,119315,84429,119880,129035,62159,59578,89765,366987,0.598915,0.195642,0.210582,0.345167
20254_3130278,20254,3130278,미성동 도깨비시장 골목형상점가,265017,28964,35250,41436,76708,50979,29489,31842,46093,105650,0.398654,0.289446,0.192361,0.405348
20254_3130277,20254,3130277,조원동 펭귄시장(신림중앙시장),193756,40723,37992,29909,41263,39303,20927,20886,31643,108624,0.560623,0.212964,0.202848,0.379116
20254_3130276,20254,3130276,신림중앙시장(조원동 펭귄시장),118794,29401,26122,17862,20533,24694,9734,9101,15184,73385,0.61775,0.172845,0.207872,0.28637
20254_3130275,20254,3130275,강남골목시장,374981,64812,90985,75160,64323,78289,41721,40473,56529,230957,0.615917,0.171537,0.208781,0.369947
20254_3130274,20254,3130274,사당1동먹자골목상점가(사당1동먹자골목),885749,231558,190937,122445,169121,165692,107333,114359,223234,544940,0.615231,0.190936,0.187064,0.502316
20254_3130273,20254,3130273,남성사계시장(남성시장),914383,135804,144376,139132,224705,171318,117268,131540,195843,419312,0.458574,0.245745,0.187359,0.486285
20254_3130272,20254,3130272,사당시장,36566,7181,7071,5366,7927,7569,4664,5053,6508,19618,0.536509,0.216786,0.206996,0.443718
20254_3130271,20254,3130271,남성역골목시장,573119,97043,104896,89235,134303,108082,68813,75883,118278,291174,0.508052,0.234337,0.188586,0.458847
20254_3130270,20254,3130270,흑석시장,70781,10435,10199,12038,15962,14675,11104,11670,15334,32672,0.461593,0.225512,0.20733,0.538393
20254_3130269,20254,3130269,강남시장(동작구 강남시장),44584,12944,5220,5180,9097,7633,5386,6007,8317,23344,0.523596,0.204042,0.171205,0.442087
20254_3130268,20254,3130268,상도전통시장,190497,40573,24427,25039,48379,36577,22231,24510,38040,90039,0.472653,0.253962,0.192008,0.445052
20254_3130267,20254,3130267,본동인정시장(기능상실),208510,35133,40747,33672,42496,44038,18803,18546,23536,109552,0.525404,0.203808,0.211203,0.292
20254_3130266,20254,3130266,만양로상점가,109902,47874,22274,11134,10943,20895,13140,13179,19286,81282,0.739586,0.099571,0.190124,0.414961
20254_3130265,20254,3130265,노량진중앙시장,203568,95038,41172,19952,18221,38517,27239,28218,40094,156162,0.767124,0.089508,0.18921,0.469381
20254_3130264,20254,3130264,상도약수골목형상점가,145574,18938,20721,25441,31625,32795,20240,25726,31888,65100,0.447195,0.217243,0.225281,0.534807
20254_3130263,20254,3130263,신노량진시장(기능상실),12362,1831,2277,1622,3618,2397,1445,1597,2323,5730,0.463517,0.292671,0.193901,0.433991
20254_3130262,20254,3130262,상도도깨비 골목형상점가,150567,24410,27406,23637,35277,30591,15175,15462,23919,75453,0.501126,0.234294,0.203172,0.362337
20254_3130261,20254,3130261,성대전통시장(성대시장),197157,37271,34991,25790,51100,35647,25030,27776,42229,98052,0.49733,0.259184,0.180805,0.482027
20254_3130260,20254,3130260,신대방1동골목상권,138860,24585,24917,21478,32251,28646,16803,16202,23082,70980,0.511162,0.232256,0.206294,0.40391
20254_3130259,20254,3130259,대신시장,35379,4572,5088,5430,9598,7089,4810,4665,6491,15090,0.426524,0.271291,0.200373,0.451285
20254_3130258,20254,3130258,영진시장A동,36227,4201,5835,6194,7210,7300,4133,4151,6017,16230,0.448008,0.199023,0.201507,0.394761
20254_3130257,20254,3130257,영등포시장기계공구상가,180023,56177,54772,26104,22354,36385,18709,18925,26322,137053,0.761308,0.124173,0.202113,0.355266
20254_3130256,20254,3130256,신동시장,125436,13713,18846,19489,28834,24791,13825,14528,21148,52048,0.414937,0.22987,0.197639,0.394632
20254_3130255,20254,3130255,영등포전통시장,736699,187389,187891,109107,136105,144429,89343,92288,119911,484387,0.65751,0.18475,0.196049,0.409315
20254_3130254,20254,3130254,남서울상가,51756,12279,11857,7604,11178,10008,7081,7463,9459,31740,0.613262,0.215975,0.193369,0.463772
20254_3130253,20254,3130253,영신상가(제일상가),56005,14168,13053,8123,11265,10355,7509,8063,10541,35344,0.631087,0.201143,0.184894,0.466262
20254_3130250,20254,3130250,삼구시장(로타리상가),56605,14373,13237,8209,11261,10421,7569,8137,10671,35819,0.632789,0.19894,0.1841,0.465984
20254_3130249,20254,3130249,동남상가,53835,12285,12417,8006,11541,10496,7196,7533,9560,32708,0.60756,0.214377,0.194966,0.451175
20254_3130248,20254,3130248,영등포역지하도상점가,130076,29900,30515,20067,22941,25814,17462,18903,25672,80482,0.618731,0.176366,0.198453,0.476929
20254_3130247,20254,3130247,우리시장,280696,27075,40882,43990,89513,54957,27873,28453,44710,111947,0.398819,0.318897,0.195788,0.359948
20254_3130246,20254,3130246,영등포청과시장(조광시장),1424584,238568,334263,236892,275081,310687,197588,189273,207204,809723,0.568393,0.193096,0.21809,0.417009
20254_3130245,20254,3130245,영일시장,244806,44512,58613,47821,35009,41835,49291,55891,54717,150946,0.616594,0.143007,0.17089,0.653166
20254_3130244,20254,3130244,대림중앙시장,351008,27418,49329,63845,105345,67243,39922,40420,58537,140592,0.400538,0.300121,0.191571,0.395658
20254_3130243,20254,3130243,도림시장,52393,7358,10166,8337,12112,10784,5176,5042,8279,25861,0.493596,0.231176,0.205829,0.353043
20254_3130242,20254,3130242,대림중앙 골목형상점가,249248,21926,38575,46216,70945,47117,30047,30943,45859,106717,0.428156,0.284636,0.189037,0.428685
20254_3130241,20254,3130241,선유도역 골목형상점가,229343,39382,56959,43544,32676,50548,36096,33546,36226,139885,0.609938,0.142477,0.220404,0.461614
20254_3130240,20254,3130240,영등포유통상가,26976,4588,6553,4971,4713,5711,4274,4260,4575,16112,0.597272,0.174711,0.211707,0.48595
20254_3130239,20254,3130239,양남시장,20759,3489,5183,3922,3519,4511,3333,3271,3275,12594,0.606677,0.169517,0.217303,0.47589
20254_3130238,20254,3130238,은행나무시장,447291,56092,62889,69372,117088,85089,52555,55289,82780,188353,0.421097,0.261771,0.190232,0.426174
20254_3130237,20254,3130237,박미시장(기능상실),5729,579,1016,1160,1344,1391,647,638,958,2755,0.480887,0.234596,0.2428,0.391517
20254_3130236,20254,3130236,비단길현대시장(현대시장),536034,70282,90284,81696,143660,103790,59197,58391,89820,242262,0.451953,0.268005,0.193626,0.386931
20254_3130235,20254,3130235,대명여울빛거리시장(대명시장),215736,28870,35677,34659,55432,34375,34174,40906,55912,99206,0.459849,0.256944,0.159338,0.607187
20254_3130234,20254,3130234,푸른터시장(기능상실),29373,2866,4987,6043,5669,5669,2740,2845,4670,13896,0.473088,0.193,0.193,0.34913
20254_3130233,20254,3130233,남문시장,162814,21840,25592,26553,45151,32878,17273,17986,26177,73985,0.454414,0.277316,0.201936,0.377339
20254_3130232,20254,3130232,독산동 맛나는거리상점가(독산동 맛나는거리),162027,20835,30127,25230,41176,30080,18722,19804,30271,76192,0.470243,0.25413,0.185648,0.424602
20254_3130231,20254,3130231,독산동 우시장,186854,31160,40820,30987,34881,40224,24967,24150,30591,102967,0.551056,0.186675,0.21527,0.426579
20254_3130230,20254,3130230,가리봉시장,131161,26988,28943,23381,24170,27116,18076,18249,24436,79312,0.604692,0.184277,0.206738,0.463255
20254_3130229,20254,3130229,남구로시장,746396,64018,103922,133642,229209,145618,100098,106597,135328,301582,0.404051,0.307088,0.195095,0.458233
20254_3130228,20254,3130228,구로시장,967003,103568,143665,194035,257215,183999,160024,176260,184691,441268,0.456325,0.265992,0.190278,0.538752
20254_3130227,20254,3130227,고척골목시장상점가(그라운드 고척),75014,9509,9068,11056,18371,14158,10464,11484,15274,29633,0.395033,0.244901,0.188738,0.496201
20254_3130226,20254,3130226,고척프라자,30114,3789,3712,4432,7058,5644,3488,3950,5781,11933,0.396261,0.234376,0.187421,0.438965
20254_3130225,20254,3130225,개봉중앙시장,495228,59152,68510,76799,137412,94537,50769,53622,85207,204461,0.412862,0.277472,0.190896,0.38285
20254_3130224,20254,3130224,개봉프라자(고척근린시장),6383,366,570,879,2473,967,995,1225,1682,1815,0.284349,0.387435,0.151496,0.611311
20254_3130223,20254,3130223,고척근린시장,229926,20814,28064,34654,69921,45103,29844,32466,46096,83532,0.363299,0.304102,0.196163,0.471482
20254_3130222,20254,3130222,오류시장,296920,60324,49459,42151,66173,55651,38761,42787,61882,151934,0.5117,0.222865,0.187428,0.483059
20254_3130221,20254,3130221,"남부골목시장(남부화곡시장, 남부시장)",258570,27970,36357,46297,67060,49669,30544,33230,48814,110624,0.42783,0.259349,0.192091,0.435426
20254_3130220,20254,3130220,등마루시장,36546,6314,9061,6572,6909,7560,3745,3675,4772,21947,0.600531,0.189049,0.206863,0.333607
20254_3130219,20254,3130219,까치산시장,1342653,229953,259713,228767,285905,273014,152030,164139,248996,718433,0.535085,0.21294,0.203339,0.420932
20254_3130218,20254,3130218,신월중앙시장,40924,6475,8139,6898,8513,7200,7245,7581,8752,21512,0.525657,0.20802,0.175936,0.576141
20254_3130217,20254,3130217,화곡본동시장,209984,28825,35254,35046,48803,40543,24256,26641,39787,99125,0.47206,0.232413,0.193077,0.431861
20254_3130216,20254,3130216,화곡중앙시장,233882,25966,38830,37063,62555,44185,27090,29394,43333,101859,0.435514,0.267464,0.18892,0.426784
20254_3130215,20254,3130215,대원종합시장,47583,6629,7310,7425,12330,8521,6076,7137,10116,21364,0.448984,0.259126,0.179077,0.49028
20254_3130214,20254,3130214,송화벽화시장(송화골목시장),65907,7839,8711,10261,13596,13282,8516,8162,12059,26811,0.4068,0.206291,0.201526,0.436023
20254_3130213,20254,3130213,방신전통시장,188475,16500,26126,33094,59961,34841,26249,27938,39221,75720,0.401751,0.318138,0.184857,0.495599
20254_3130212,20254,3130212,공항시장,292615,59393,66725,45401,57042,61459,35340,34286,46616,171519,0.586159,0.194939,0.210034,0.397252
20254_3130211,20254,3130211,신정2동 골목시장(오목교중앙시장),34608,2402,1962,7011,10316,5322,4694,5868,9673,11375,0.328681,0.298081,0.153779,0.584691
20254_3130210,20254,3130210,목2동시장,430045,62039,93887,71126,90548,83505,47677,49488,79363,227052,0.527973,0.210555,0.194177,0.410487
20254_3130209,20254,3130209,목사랑시장(목4동시장),336358,36101,36163,49988,71244,70611,38566,38259,53125,122252,0.363458,0.21181,0.209928,0.386344
20254_3130208,20254,3130208,목동깨비시장(목3동시장),357317,47286,69773,56665,86524,67686,47389,49207,69941,173724,0.48619,0.242149,0.189428,0.466076
20254_3130207,20254,3130207,신정1동 골목시장(신정제일시장),70023,7951,9358,12355,14797,12441,10334,11512,15355,29664,0.423632,0.211316,0.17767,0.531268
20254_3130206,20254,3130206,신정3동 골목시장,49738,6571,6627,8280,11436,8897,7297,8241,11425,21478,0.431823,0.229925,0.178877,0.542101
20254_3130205,20254,3130205,신곡종합시장(신월6동 골목시장),33597,3082,4518,5903,8991,6685,4083,4446,6708,13503,0.401911,0.267613,0.198976,0.453523
20254_3130204,20254,3130204,경창시장,209945,15294,26939,37418,58235,41086,23245,24452,35930,79651,0.37939,0.277382,0.195699,0.398328
20254_3130203,20254,3130203,서서울 골목형상점가,77042,8742,11874,12218,22554,13848,8932,9619,14817,32834,0.426183,0.292749,0.179746,0.433114
20254_3130202,20254,3130202,신영시장,123102,13700,16954,18673,36823,22345,15404,17296,24150,49327,0.4007,0.299126,0.181516,0.461812
20254_3130201,20254,3130201,월정로시장,164004,15570,22040,24976,52190,31766,19226,20208,28963,62586,0.381613,0.318224,0.19369,0.417045
