park_id,park_name,area_sqm,main_facilities,region,park_address,longitude,latitude
1,남산공원,2896887.0,기반시설 : 광장 45950㎡ 도로 108530㎡ 산책로 6.7㎞ (북측:3.7㎞/남측:3.0㎞) 조경시설 : 연못 1개소(1078㎡) 파고라 분수대 그늘시렁 운동시설 : 테니스장 야구장 궁도장 배드민턴장 교양시설 : 도서관 야외식물원 안중근의사 기념관 편익시설 : 주차장 매점 음수대 팔각정 화장실 밴치 타워전망대 기타시설 : 순환도로 18.9㎞,중구,서울특별시 중구 삼일대로 231(예장동),126.9903773,37.5501402
2,길동생태공원,79258.7,"생태문화센터, 탐방객안내센터, 반딧불이 체험관, 목재데크, 조류관찰대",강동구,서울특별시 강동구 천호대로 1291(길동생태공원),127.1547791,37.5403935
3,서울대공원,9132690.0,동물원 식물원 테마가든(장미원 어린이동물원 피크닉장) 치유숲 산림욕장 캠핑장 국립현대미술관 서울랜드 플레이월드 원더파크 코끼리열차 스카이리프트 등,과천시,경기도 과천시 대공원광장로 102,127.0198465,37.4264494
4,서울숲,480994.0,문화예술시설: 바닥분수 거울연못 군마상 야외무대 가족마당무대 생태시설: 꽃사슴방사장 보행가교 바람의언덕 체험시설: 곤충식물원,성동구,서울특별시 성동구 뚝섬로 273 (성수동1가),127.0417982,37.5430717
5,월드컵공원,2284085.0,평화의 공원 월드컵공원전시관(879㎡) 유니세프광장(2400㎡) 평화광장(5217㎡) 난지연못(24522㎡) 휴게소2개소 화장실 6개소 음수전 2개소 별자리광장(2800㎡) 잔디광장(15110㎡) 야외전시장(5145㎡) 모험놀이터(1133㎡) 피크닉장(멍석20개) 테니스장 2면 평화의정원 1개소 주차장(1242면) 에너지제로하우스 하늘공원 탐방객안내소(103㎡) 풍력발전기 5개소 전망대 20개소 화장실 5개소 음수전 4개소 하늘계단 하늘을 담는 그릇 초지(109567㎡) 난지천공원 인조잔디축구장 게이트볼장(1188㎡) 농구장(420㎡) 음수전 4개소 화장실 5개소 배드민턴장(328㎡) 다목적구장(3240㎡) 장애인놀이터(1591㎡) 어린이놀이터(706㎡) 매점 2개소 잔디광장(16193㎡) 오리연못(3600㎡) 주차장(난지천 196면 임시주차장 250면 장애인주차장 53면) 노을공원 관찰?쉼터데크 전망데크 바람의광장 누에생태체험장 노을캠핑장 파크골프장 노을계단 조각 작품 10 반딧불이 관찰원 커뮤니티센터 난지창작스튜디오 희망의숲 등 매립지 사면 달리기코스(난지순환길 5.8㎞) 수림대 사면녹화 기타시설 지역난방공사 자원회수시설 수소충전시설 수소발전시설,마포구,서울특별시 마포구 하늘공원로 84(월드컵공원),126.878907,37.571805
6,광화문시민열린마당,8948.1,조 경 시 설 : 육조상징벽 6개소 전통담장 4개소 열주 22조 화계6개소 편 익 시 설 : 화강석의자 35조 관 리 시 설 : 광장등 4본 정원등 23본 투사등 28본 열주내장등 22본 기 반 시 설 : 열린마당 3280㎡ 육조마당 920㎡ 휴게마당 1670㎡ 녹지대 3078㎡ 대형전용 주차장 : 9면,종로구,서울특별시 종로구 세종로 76-2,126.9780227,37.5750449
7,진관근린공원(구파발폭포),0.0,폭포 야외무대,은평구,서울특별시 은평구 진관동 393,126.9192155,37.6370244
8,중마루근린공원,6456.0,기반시설 : 광장 200㎡ 산책 등산로 0.50㎞ 편익시설 : 광장  의자 휴지통 음수대 공원등 등 편익시설 : 파고라 연못 1개소(150㎡) 그늘시렁 등 휴양시설 : 정자,영등포구,서울특별시 영등포구 영등포동2가 222,126.9112668,37.519832
9,응봉공원 (대현산배수지공원),75570.0,조경시설 : 파고라 외 222소  운동시설 : 잔디광장 테니스장 2면 게이트볼장 배드민턴장 6면 다목적경기장 등  편익시설 : 음수대 화장실 2동 등  기타시설 : 관리동 등,성동구,서울특별시 성동구 금호동1가 산1-72,127.0217653,37.5572281
10,매화근린공원,1980.4,상징조형물 팔각정자 사각파고라 음수전,강서구,서울특별시 강서구 등촌동 630-14,126.86115,37.5575833
11,성수근린공원,5197.7,조경시설 : 그늘시렁 1개소 돌담 2개소(251.31M) 돌담 장식대 84개소 운동시설 : 농구장 176.6㎡ 편익시설 : 음수대 1개소 벤치 25개소 광장 706㎡ 관리시설 : 공원등 24본,성동구,서울특별시 성동구 성수2가 3동 302-25,127.0524023,37.5448144
12,샛마을근린공원,11467.0,농구대 2개소 체력단련시설 놀이터 다목적운동장,강동구,서울특별시 강동구 명일1동 288,127.1471618,37.5504807
13,여의도근린공원,229539.0,건축물 : 8동 - 관리사무실(7.9㎡) 편의점3동(각 29.7㎡) 화장실7동(각104.28㎡)팔각정(27.72㎡) 사모정(8.91㎡) 공원지구대(264㎡) 공원파출소     - 자전거 도로 : 2.4km(폭4~6m) 산책로 : 3.9km(폭 2m)     - 한강둔치 연결 지하보도 : 120m(높이 2.5m 폭 8m)     - 공원등 : 334개소     - 스프링클러 : 6.4km 155개소     - 광장 : 24735㎡(7482평)     - 자전거보관대 : 2개소(16대)     - 연못 : 3개소 4848㎡( 지당연못 3530㎡ 생태연못 730㎡ 잔디마당연못 588㎡),영등포구,서울특별시 영등포구 여의공원로 68 (여의도동),126.922377,37.526129
14,간데메근린공원,15179.7,"화장실 1동, 팔각정 1개, 파고라 4동, 자전거보관대 1개소, 운동기구 12개, 놀이시설 3대, 조합놀이대 1대, 관리사무소 등",동대문구,서울특별시 동대문구 서울시립대로2길 59(간데메공원),127.0488644,37.5732438
15,훈련원근린공원,17927.9,광장 2개소 야외의자 36기 운동기구 9기 종합체육관 화장실 등,중구,서울특별시 중구 을지로 227,127.0038188,37.5675245
16,영등포근린공원,61544.0,관리시설 : 관리사무소 공원등 안내판 조경시설 : 음악분수 파고라 연못 개울 벽천 잔디밭 운동시설 : 농구장 배드민턴장 풋살경기장 편익시설 : 주차장 공중전화 음수전 화장실 의자 휴양시설 : 야외정자,영등포구,서울특별시 영등포구 신길로 275,126.910662,37.515423
17,보라매공원,406705.0,"조경시설: 잔디마당, 수경시설(연못, 벽천 등), 철쭉동산 등 운동시설: 중앙트랙, 인조잔디축구장, 테니스장, 다목적운동장, 배드민턴장, 인공암벽등반장, 게이트볼장, 맨발길, 야외운동기구(평행봉 등 28종), 농구장, X-game장, 인라인스케이트장, 편익시설:주차장, 매점, 음수대, 그늘막, 화장실, 벤치 유희시설: 풍경놀이터, 어린이놀이터, 바닥분수, 테마물놀이터, 에어파크 교양시설:서울시립보라매청소년센터, 보라매안전체험관 기타시설:서울시립관악노인종합복지관, 서울시립발달장애인복지관, 서울시립남부장애인종합복지관, 동작경찰서 보라매파견소 등",동작구,서울특별시 동작구 여의대방로20길 33(보라매공원),126.918289,37.492333
18,어린이대공원,536094.5,교양시설：46개소(야외음악당 등) 조경시설：7개소(분수대 등) 유희시설：4종(놀이동산 등)   편익시설：24개소(식당 등) 동물원：53종 519마리 식물원：222종 5015본,광진구,서울특별시 광진구 능동로 216(서울어린이대공원),127.0809212,37.5498987
19,천호근린공원,26696.8,기반시설 : 광장   조경시설 : 연못 1개소   운동시설 : 배드민턴장 농구장 족구장 체력단련시설 등 교양시설 : 야외무대 1개소  편의시설 : 벤치(등받이) 벤치 팔각정자 1개소 평상  원형테이블 피크닉테이블 음수대,강동구,서울특별시 강동구 올림픽로 702(천호공원),127.1263451,37.5444741
20,용산가족공원,75900.0,조경시설 : 잔디광장 연못 4개소(6740㎡) 정자3 원두막2 자연학습장 맨발공원 태극기공원 운동시설 : 철봉 평행봉 역기 윗몸일으키기 등배치기 등 13점 편익시설 : 주차장(50대) 음수대 공중전화 화장실 벤치 자동판매기 교양시설 : 국제조각품 9점 기타시설 : 야외예식장 빗물펌프장 공원가로등(59본 118등),용산구,서울특별시 용산구 서빙고로 185,126.983335,37.522226
21,독립근린공원,113021.7,방문자센터(관리사무소 위치) 순국선열추념탑 서재필선생동상 독립관(순국선열 위패봉안소) 3?1독립선언기념탑 독립문 형무소 역사관 이진아기념도서관,서대문구,서울특별시 서대문구 통일로251(독립공원),126.956771,37.5738289
22,낙산근린공원,201779.0,기반시설 : 관리도로 2920m 산책로 1010m 주차장 640㎡ 교양시설 : 역사탐방로 935m 비우당 27㎡ 홍덕이밭 50㎡ 건축시설 : 5동(전시및관리실 매점및화장실 비우당 육각정자 노인정) 운동시설 : 배드민턴장 12면 농구장 1면 편익시설 : 파고라 5종 의자 117개 음수대(6) 화장실2 광 장 : 5개소(중앙광장 놀이광장 전망광장 3개소) 기타시설 : 안내판 등 29개,종로구,서울특별시 종로구 낙산길 41 (우) 03085,127.007587,37.580477
23,매헌시민의숲,258991.0,"조경시설 : 잔디광장, 파고라, 정자 운동시설 : 배구장(족구장 겸용), 농구장, 테니스장 등 편익시설 : 음수대, 화장실 5개소 등 기      타 : 야외 예식장, 윤봉길의사 기념관, 윤봉길 의사 동상,  백마부대 충혼탑,대한항공 858편 위령탑, 삼풍백화점 희생자 위령탑, 우면산 산사태 희상자 추모비 등",서초구,서울특별시 서초구 매헌로 99 (양재동),127.035042,37.471225
24,관악산공원,14278901.5,낙성대 연주대 삼막사 관음사 관악산호수,관악구,서울특별시 관악구 관악로 1(관악산공원),126.96413,37.445208
25,효창근린공원,171277.0,관리시설 : 관리사무소 공원등 안내판 편의시설 : 매점 공중전화 화장실 음수대 야외탁자 의자 시계탑 조경시설 : 자연학습장 연못 데크로드 운동시설 : 농구장 배드민턴장 게이트볼장 체력단련시설 유희시설 : 어린이놀이터 휴양시설 : 정자 파고라 교양(사적)시설 : 의열사 백범김구선생 묘역 삼의사묘역 임정요인묘역 백범기념관 이봉창의사 동상 반공투사 위령탑 원효대사상,용산구,서울특별시 용산구 효창원로 177-18,126.95993,37.545234
26,감로천생태공원(관악산),0.0,생태연못 3개소 감로천별빛다리 목재데크길 야외운동기구 등,금천구,서울특별시 금천구 독산동 373 일대,126.9079509,37.469625
27,개운산근린공원,297926.0,공원이용지원센터 화장실 산책로(산마루길 목재데크산책로 오솔길 등) 자연학습장 지압보도 축구장 배드민턴장 족구장 정자 등,성북구,서울특별시 성북구 북악산로 949-73(돈암동 6-1),127.0252858,37.5965837
28,개웅산근린공원,411972.0,배드민턴장 철봉 허리돌리기 역기 등 운동기구,구로구,서울특별시 구로구 오류동 산13-1,126.8485734,37.4888943
29,경희궁,98470.0,자정전 흥화문 (서울특별시 유형문화재 제19호) 숭정전,종로구,서울특별시 종로구 새문안로 55(신문로2가 2-1),126.9685341,37.570773
30,국립서울현충원,1433079.0,"현충탑, 현충관, 호국전시관, 충열대, 충성분수대, 무명용사 봉안실, 제1?2충혼당",동작구,"서울특별시 동작구 현충로 210(동작동, 국립서울현충원)",126.9736849,37.4998621
31,계남근린공원,603715.2,"장군정(정상) 1동 다목적구장(실내 배드민턴장) 생태연결통로(계남1, 2공원 연결) 야외무대 약수터 3개소 각종 운동시설(게이트볼장 족구장 등) 화장실 2개동",양천구,서울특별시 양천구 신정동 산44-2일대,126.8479643,37.5138358
32,고척근린공원,108120.0,도서관 어린이놀이터 배드민턴장 테니스장 운동장 조깅트랙 구민체육센터 운동기구 농구장,구로구,서울특별시 구로구 고척로45길 39(고척공원),126.8521495,37.5042944
33,파리근린공원,29619.3,분수(벽천 무지개 분수 곡사분수 바닥분수) 자수화단 야외무대 모형 에펠탑 각종 운동시설(건강라운지) 관리사무소(화장실) 1개동 등,양천구,서울특별시 양천구 목동동로 363,126.8763932,37.5349739
34,허준공원,29843.8,연못(5100㎡) 정자 어린이 놀이 시설 허준 동상 음악분수,강서구,서울특별시 강서구 허준로5길 42,126.8526745,37.5679874
35,궁동근린공원,126026.0,조경시설 : 파고라 3동 편의시설 : 실내체육관 1동 정자 2동 평의자 30조 관리시설 : 종합안내판 1조 초화류안내판 2개 기반시설 : 도로 산책로 등,서대문구,서울특별시 서대문구 성산로7길 19-24(궁동공원),126.9229851,37.5690506
