senior_id,facility_name,facility_type,district_code,district_name,facility_address
A0495,성북구립 상월곡실버복지센터,노인여가복지시설,1129000000,성북구,서울특별시 성북구 화랑로18길 6 (상월곡동)
A0724,서초구립양재노인종합복지관,노인여가복지시설,1165000000,서초구,서울특별시 서초구 강남대로30길
A0922,강서구립봉제산노인복지센터,노인여가복지시설,1150000000,강서구,서울특별시 강서구 화곡동 산 41-16
A1022,시립중랑노인종합복지관,노인여가복지시설,1126000000,중랑구,서울특별시 중랑구 겸재로9길 45 (면목동)
A1165,강남구립 강남노인종합복지관,노인여가복지시설,1168000000,강남구,서울특별시 강남구 삼성로 66 번지
A1174,강북노인종합복지관,노인여가복지시설,1130500000,강북구,서울특별시 강북구 삼양로92길 40 (수유동)
A1599,북가좌노인복지관,노인여가복지시설,1141000000,서대문구,서울특별시 서대문구 증가로20길 43 (북가좌동)
A1732,양천어르신종합복지관,노인여가복지시설,1147000000,양천구,서울특별시 양천구 목동로3길 106 (신정동)
A1756,연희노인복지관,노인여가복지시설,1141000000,서대문구,서울특별시 서대문구 홍제천로2길 111 (연희동)
A2077,시립은평노인종합복지관,노인여가복지시설,1138000000,은평구,서울특별시 은평구 연서로 415 (진관동)
A2149,도봉동어르신복지관,노인여가복지시설,1132000000,도봉구,서울특별시 도봉구 도봉로169가길 52 (도봉동)
A2224,구립역촌노인복지관,노인여가복지시설,1138000000,은평구,서울특별시 은평구 연서로3나길 11-30 (역촌동)
A2247,구립갈현노인복지관,노인여가복지시설,1138000000,은평구,서울특별시 은평구 통일로89길 12-6 (갈현동)
A2255,약수노인복지관,노인여가복지시설,1114000000,중구,서울특별시 중구 다산로6길 11 (신당동)
A2315,송파노인종합복지관,노인여가복지시설,1171000000,송파구,서울특별시 송파구 백제고분로32길 41 (삼전동)
A2509,동작노인종합복지관,노인여가복지시설,1159000000,동작구,서울특별시 동작구 상도로11길 7 (대방동)
A2723,성북구립 장위실버복지센터,노인여가복지시설,1129000000,성북구,서울특별시 성북구 한천로 708 (장위동)
A2732,구립중화경로복지관,노인여가복지시설,1126000000,중랑구,서울특별시 중랑구 동일로138길 28 (중화동)
A2733,시립성북노인종합복지관,노인여가복지시설,1129000000,성북구,서울특별시 성북구 종암로15길 10 (종암동)
A2739,시립노원노인종합복지관,노인여가복지시설,1135000000,노원구,"서울특별시 노원구 노원로16길 15 (하계동, 시립노원노인종합복지관)"
A2758,시립용산노인종합복지관,노인여가복지시설,1117000000,용산구,서울특별시 용산구 독서당로11길 16 (한남동)
A2771,서울시립강서노인종합복지관,노인여가복지시설,1150000000,강서구,서울특별시 강서구 화곡로61길 85 (등촌동)
A2776,관악노인종합복지관,노인여가복지시설,1162000000,관악구,서울특별시 관악구 보라매로 35 (봉천동)
A2947,서울노인복지센터,노인여가복지시설,1111000000,종로구,서울특별시 종로구 삼일대로 467 (경운동)
A2955,서대문노인종합복지관,노인여가복지시설,1141000000,서대문구,서울특별시 서대문구 독립문로8길 57 (천연동)
A2991,창동어르신복지관,노인여가복지시설,1132000000,도봉구,서울특별시 도봉구 덕릉로60차길 8 (창동)
A3015,구립신내노인종합복지관,노인여가복지시설,1126000000,중랑구,서울특별시 중랑구 신내로15길 175 (신내동)
A3085,쌍문동어르신복지관,노인여가복지시설,1132000000,도봉구,서울특별시 도봉구 우이천로 363 (쌍문동)
A3206,서울시립동대문노인종합복지관,노인여가복지시설,1123000000,동대문구,서울특별시 동대문구 제기로33길 25 (청량리동)
A3812,방학동어르신복지관,노인여가복지시설,1132000000,도봉구,서울특별시 도봉구 시루봉로15라길 59-9 (방학동)
A3971,종로노인종합복지관,노인여가복지시설,1111000000,종로구,서울특별시 종로구 율곡로19길 17-8 (이화동)
A4002,성동노인종합복지관,노인여가복지시설,1120000000,성동구,서울특별시 성동구 마조로 77 (마장동)
A4035,구립영등포노인종합복지관,노인여가복지시설,1156000000,영등포구,서울특별시 영등포구 도림로 482 (문래동3가)
A4195,청파노인복지관,노인여가복지시설,1117000000,용산구,서울특별시 용산구 청파로83길 26 (서계동)
