station_id,use_month,line_name,station_name,in_06_07,out_06_07,in_07_08,out_07_08,in_08_09,out_08_09,in_09_10,out_09_10,in_12_13,out_12_13,in_13_14,out_13_14,in_14_15,out_14_15,in_15_16,out_15_16,in_16_17,out_16_17,in_17_18,out_17_18,morning_total_in,morning_total_out,afternoon_total_in,afternoon_total_out
201501_1호선_동대문,201501,1호선,동대문,10907,7588,16633,13326,25485,31619,26160,31761,30862,41818,35031,40669,37354,41918,37417,38081,38600,34089,38790,32839,79185,84294,218054,229414
201501_1호선_동묘앞,201501,1호선,동묘앞,2814,3042,5815,7798,8785,24546,7810,17820,16727,27272,23452,32872,30157,34871,34986,29175,35848,20615,32797,14661,25224,53206,173967,159466
201501_1호선_서울역,201501,1호선,서울역,19926,57836,60421,124050,105203,247709,97001,139481,137585,94960,133819,102134,111699,106790,147034,111763,141031,115641,166058,120117,282551,569076,837226,651405
201501_1호선_시청,201501,1호선,시청,3551,20169,6448,74541,8988,178049,11467,77254,26035,43874,32585,44516,41208,40428,50331,36090,52492,29354,70261,28340,30454,350013,272912,222602
201501_1호선_신설동,201501,1호선,신설동,9843,8999,22667,27017,31577,80159,22617,46398,29586,24701,32124,27839,30749,25885,34850,25862,34241,24436,42712,26575,86704,162573,204262,155298
201501_1호선_제기동,201501,1호선,제기동,8456,8686,21578,17389,29844,45279,22984,34697,43578,67222,54292,74533,63240,67625,72740,55596,72512,41356,58530,30067,82862,106051,364892,336399
201501_1호선_종각,201501,1호선,종각,5998,28562,9180,129062,14948,283420,17499,167552,51894,82461,71817,89278,79369,77180,94789,66257,105175,64226,131629,75909,47625,608596,534673,455311
201501_1호선_종로3가,201501,1호선,종로3가,4437,12550,7303,32328,12977,104835,15926,121153,63740,104774,85087,114631,93767,99658,107606,80335,116521,67162,119726,62695,40643,270866,586447,529255
201501_1호선_종로5가,201501,1호선,종로5가,3321,12096,5476,46946,9863,126772,13664,89007,44012,71096,57828,66906,69778,65550,79426,59482,77196,49677,90435,45099,32324,274821,418675,357810
201501_1호선_청량리(지하),201501,1호선,청량리(지하),19186,13447,50159,23978,69303,46156,48013,43482,57018,66353,62755,76339,67721,78392,75301,73294,81116,66610,74951,64947,186661,127063,418862,425935
201501_2호선_강남,201501,2호선,강남,31080,78671,60589,221748,98091,401483,80352,410938,143766,190731,194940,231795,184693,194767,219377,186427,242613,184137,291490,216188,270112,1112840,1276879,1204045
201501_2호선_강변,201501,2호선,강변,30450,36349,104599,43022,158531,65647,112574,67455,98043,73223,96412,86903,89671,93040,91255,102789,92110,113020,99926,120456,406154,212473,567417,589431
201501_2호선_건대입구,201501,2호선,건대입구,32481,16702,71424,29956,121654,74442,78433,58895,57175,67977,64043,82269,61709,78274,67082,82461,73787,95258,85115,122475,303992,179995,408911,528714
201501_2호선_교대,201501,2호선,교대,14502,25754,30272,68219,46088,175404,39379,161835,52580,71467,66789,81559,72134,76316,79497,70723,82234,67333,100837,75163,130241,431212,454071,442561
201501_2호선_구로디지털단지,201501,2호선,구로디지털단지,57934,24123,156695,82291,207995,302709,130817,158809,79908,62585,87824,73693,78724,79431,79373,84019,86700,91134,112505,116214,553441,567932,525034,507076
201501_2호선_구의,201501,2호선,구의,23972,10474,68371,15732,112976,49612,65201,34939,36273,27130,39050,31765,36594,33782,35123,39239,35619,42793,40740,51059,270520,110757,223399,225768
201501_2호선_낙성대,201501,2호선,낙성대,27430,11120,95887,19480,143927,54734,80285,42836,46590,31634,48148,35608,44172,37508,41807,41585,42154,46875,52831,57715,347529,128170,275702,250925
201501_2호선_당산,201501,2호선,당산,19657,16249,63054,31534,74216,87978,46049,40509,33572,27746,33914,31043,30980,31622,32100,33787,33577,38300,48015,46809,202976,176270,212158,209307
201501_2호선_대림,201501,2호선,대림,37862,14946,85175,26158,124943,77190,85632,48581,48747,44771,49822,45810,45760,45419,45048,52772,47738,56732,55615,77418,333612,166875,292730,322922
201501_2호선_도림천,201501,2호선,도림천,975,652,2247,2669,2625,5071,1603,1714,1967,1542,1456,1205,1543,1421,1412,1499,1758,1501,2144,1378,7450,10106,10280,8546
201501_2호선_동대문역사문화공원,201501,2호선,동대문역사문화공원,7126,7910,8208,20657,12165,63045,13887,42307,23176,37685,26744,41422,32401,43705,39040,38709,45508,35022,53379,34557,41386,133919,220248,231100
201501_2호선_뚝섬,201501,2호선,뚝섬,10846,11897,28195,23217,40902,95779,25018,38889,19785,17406,22600,19265,20937,19282,22165,20985,23737,22613,30883,25872,104961,169782,140107,125423
201501_2호선_문래,201501,2호선,문래,14023,8654,43876,30089,48657,123146,28599,49769,25717,24129,28284,26379,26565,24744,28621,24772,28708,25393,39642,28586,135155,211658,177537,154003
201501_2호선_방배,201501,2호선,방배,11437,10418,28148,29181,46321,81206,34443,54007,29879,28146,32911,34595,32679,31849,34776,31467,38295,31251,45881,36311,120349,174812,214421,193619
201501_2호선_봉천,201501,2호선,봉천,30203,7876,84901,11603,120529,30500,70151,28507,39935,26534,41630,31346,35669,32471,34941,39618,35879,44260,37918,51614,305784,78486,225972,225843
201501_2호선_사당,201501,2호선,사당,24388,31469,73784,55105,112954,91283,77068,67262,59967,64173,69404,66848,73771,65377,74375,73415,75781,88668,85961,118049,288194,245119,439259,476530
201501_2호선_삼성,201501,2호선,삼성,12091,47181,24773,135834,34184,374391,33782,274681,62881,112657,85106,123171,99404,114868,127909,104658,142046,95829,190284,90098,104830,832087,707630,641281
201501_2호선_상왕십리,201501,2호선,상왕십리,9494,12966,24957,11042,39335,37370,22213,17050,15230,11275,15828,12780,15192,13167,15450,13958,17552,15188,26511,18071,95999,78428,105763,84439
201501_2호선_서울대입구,201501,2호선,서울대입구,47078,19423,143224,32161,201762,80948,124662,79743,80911,65253,89649,78774,82024,79141,83418,85219,89914,92200,103905,107073,516726,212275,529821,507660
201501_2호선_서초,201501,2호선,서초,6652,21303,15852,49415,27698,133196,26888,90002,27545,33135,40154,36350,38428,37637,45828,29875,48739,31125,62061,30175,77090,293916,262755,198297
201501_2호선_선릉,201501,2호선,선릉,15848,37768,29314,112180,43767,324896,43392,221929,67958,70717,85309,83987,91561,71932,112478,65106,121250,62926,164082,64060,132321,696773,642638,418728
201501_2호선_성수,201501,2호선,성수,11489,20849,25682,69503,36133,250184,29925,72723,27070,25824,33000,28012,33627,28429,34704,28914,35760,30562,52173,34731,103229,413259,216334,176472
201501_2호선_시청,201501,2호선,시청,2681,18660,5903,101381,9659,217842,12028,79893,27201,32756,33584,36669,38596,33735,45110,31450,47240,27539,72396,26577,30271,417776,264127,188726
201501_2호선_신답,201501,2호선,신답,1646,429,4954,752,7910,1859,2957,1271,2202,1734,2279,1700,1964,1924,1698,2646,1789,3118,1823,3276,17467,4311,11755,14398
201501_2호선_신당,201501,2호선,신당,10194,8496,24997,16196,38745,46959,25525,29958,23322,26757,26559,28369,27842,29312,28421,28310,31053,28717,35322,31502,99461,101609,172519,172967
201501_2호선_신대방,201501,2호선,신대방,34561,10837,96109,19521,135642,42473,85022,27432,41833,25774,41904,30413,37185,31848,34819,40542,35729,47069,39447,57696,351334,100263,230917,233342
201501_2호선_신도림,201501,2호선,신도림,63185,24654,169066,58196,182270,158396,114397,98965,95686,95506,103539,100621,99512,97255,106592,106016,112065,111321,130518,136181,528918,340211,647912,646900
201501_2호선_신림,201501,2호선,신림,81188,23120,247153,36310,351556,77678,196666,68744,105999,78247,110356,89682,100871,94727,99721,112169,102863,129694,113429,161180,876563,205852,633239,665699
201501_2호선_신설동,201501,2호선,신설동,1420,1531,2794,7372,4273,17496,3789,14155,7568,8205,8498,9125,10137,8504,11500,7496,12154,6072,13274,6182,12276,40554,63131,45584
201501_2호선_신정네거리,201501,2호선,신정네거리,15935,3560,50833,5166,49326,12646,27049,9755,18249,11212,17844,12797,14945,13771,13958,17044,14249,19947,15467,25988,143143,31127,94712,100759
201501_2호선_신천,201501,2호선,신천,21820,8431,70560,17150,95678,35365,58107,37921,43462,33640,44616,39847,40295,42282,41999,45798,45625,51559,50042,65250,246165,98867,266039,278376
201501_2호선_신촌,201501,2호선,신촌,20039,18713,50014,44182,70351,111451,47745,135596,79373,95881,92498,117794,88473,101159,103397,99707,114305,99920,137807,116708,188149,309942,615853,631169
201501_2호선_아현,201501,2호선,아현,8231,7993,19312,8750,30195,18267,19148,13694,17665,10808,15928,12142,14546,12769,15053,14113,16048,15048,20618,17334,76886,48704,99858,82214
201501_2호선_양천구청,201501,2호선,양천구청,11560,2281,32671,4172,30396,10583,18866,7853,13424,8459,12251,9939,10562,10354,9791,12170,10149,13908,10660,16927,93493,24889,66837,71757
201501_2호선_역삼,201501,2호선,역삼,11656,37193,17914,137522,29375,380397,30497,257903,49760,67702,64060,78652,72347,71954,85329,62072,92435,59256,137671,60793,89442,813015,501602,400429
201501_2호선_영등포구청,201501,2호선,영등포구청,16071,11023,45673,37017,47687,105505,34626,55403,30613,28917,33203,31332,33661,31491,33904,31678,35067,32598,49962,37175,144057,208948,216410,193191
201501_2호선_왕십리(성동구청),201501,2호선,왕십리(성동구청),12688,5588,31376,14812,52853,37592,32749,26047,30108,24251,32582,26886,31006,26184,31748,27561,34173,30526,42734,38296,129666,84039,202351,173704
201501_2호선_용답,201501,2호선,용답,2997,1012,8009,1391,14070,2708,6287,1768,4096,2826,4350,3207,4031,3398,3467,4450,3272,5504,3650,5708,31363,6879,22866,25093
201501_2호선_용두,201501,2호선,용두,1313,1135,4622,2081,7163,5765,3400,3500,3757,4452,4543,5320,4731,4933,5155,5011,5501,4567,5227,4713,16498,12481,28914,28996
201501_2호선_을지로3가,201501,2호선,을지로3가,2564,18682,4705,61228,8883,161136,11869,77522,22264,26186,27667,28627,31020,26372,34773,22786,39740,21943,52973,20379,28021,318568,208437,146293
201501_2호선_을지로4가,201501,2호선,을지로4가,1334,7937,2810,23566,5238,83733,8596,51049,20028,26894,23306,26204,27830,27526,31286,23643,33960,20342,41227,15474,17978,166285,177637,140083
201501_2호선_을지로입구,201501,2호선,을지로입구,3719,28133,9249,147255,15238,356799,19964,171073,46113,84489,64898,88289,77832,80559,95271,78373,103852,74279,131166,76853,48170,703260,519132,482842
201501_2호선_이대,201501,2호선,이대,10086,6498,27424,13722,41482,50060,27621,50931,36488,48696,41593,48455,39517,46191,45943,44272,52008,42621,66813,43395,106613,121211,282362,273630
201501_2호선_잠실,201501,2호선,잠실,47516,54960,150009,88439,211983,167320,141406,155780,110937,111315,125214,121895,124529,121343,139454,126883,150148,137944,197165,145777,550914,466499,847447,765157
201501_2호선_잠실나루,201501,2호선,잠실나루,15057,10285,53280,23351,67212,45398,40458,29366,31720,25593,31055,27996,30618,27437,31644,27334,34215,27551,38902,32306,176007,108400,198154,168217
201501_2호선_종합운동장,201501,2호선,종합운동장,9304,10333,27747,17600,38848,33474,28769,23084,19278,19569,20662,26931,23231,20201,21606,21079,29666,19590,26701,24417,104668,84491,141144,131787
201501_2호선_충정로,201501,2호선,충정로,8041,7054,18579,21985,27100,68272,17983,36495,15979,14540,18167,16209,17656,15496,17715,16097,18117,16679,25368,18244,71703,133806,113002,97265
201501_2호선_한양대,201501,2호선,한양대,3287,5989,7258,10991,10709,36144,8328,48271,12259,19296,13860,20664,13719,16587,17058,14110,21176,13321,34409,12774,29582,101395,112481,96752
201501_2호선_합정,201501,2호선,합정,20923,20515,58113,41434,73359,107532,47919,76155,42468,46009,47389,54222,47950,53956,51417,55156,58795,59985,78788,72125,200314,245636,326807,341453
201501_2호선_홍대입구,201501,2호선,홍대입구,43456,19002,86687,38225,104278,135147,67453,126475,75328,142020,92442,169031,96553,164147,114184,168044,138935,178819,171776,209053,301874,318849,689218,1031114
201501_3호선_가락시장,201501,3호선,가락시장,7320,6809,20370,8647,24444,22241,18019,13948,16075,11551,16822,12884,15588,13758,16111,15262,17274,15709,20270,17182,70153,51645,102140,86346
201501_3호선_경복궁,201501,3호선,경복궁,6486,13571,16420,41161,26013,124838,25465,68392,30502,49541,39873,53872,44320,49031,49349,43918,57632,37227,66464,34679,74384,247962,288140,268268
201501_3호선_경찰병원,201501,3호선,경찰병원,6829,2413,22202,7474,26163,32721,15334,15132,11205,8365,12559,10951,12491,11115,12074,10945,12342,11559,13429,13236,70528,57740,74100,66171
201501_3호선_고속터미널,201501,3호선,고속터미널,10832,38538,33051,56992,57888,88156,64120,114818,104201,129309,116880,137212,126053,147542,139469,150395,151226,154459,161970,155144,165891,298504,799799,874061
201501_3호선_교대,201501,3호선,교대,3300,6861,7595,20523,11645,55479,10591,41309,18392,15556,23619,17145,27082,16361,28908,15384,30271,14496,37566,16296,33131,124172,165838,95238
201501_3호선_구파발,201501,3호선,구파발,26563,6724,82626,10995,81983,16368,44081,16997,26894,13848,26152,15017,22167,15701,21384,18738,22842,22427,23224,25743,235253,51084,142663,111474
201501_3호선_금호,201501,3호선,금호,8571,4381,24348,4714,37344,7767,24247,7438,13832,8643,13829,9910,12264,10928,11560,13363,11435,14729,13290,17395,94510,24300,76210,74968
201501_3호선_남부터미널,201501,3호선,남부터미널,9839,28600,27680,61267,47001,191531,44616,100658,58795,58881,65791,70673,66104,70083,70540,69207,75524,69221,95193,73358,129136,382056,431947,411423
201501_3호선_녹번,201501,3호선,녹번,21256,5542,60780,7528,78112,18551,45454,12903,25288,12917,24205,15973,21964,17103,19785,20553,19372,23855,20409,28459,205602,44524,131023,118860
201501_3호선_대청,201501,3호선,대청,11628,5090,31495,9834,41670,27107,21429,13264,16749,10916,17537,12070,15916,12441,16535,15075,17873,15522,23347,17976,106222,55295,107957,84000
201501_3호선_대치,201501,3호선,대치,12157,9574,25605,13876,27905,29593,18625,25530,21802,19627,21505,21922,18874,18982,21925,19197,25391,21860,30241,24834,84292,78573,139738,126422
201501_3호선_도곡,201501,3호선,도곡,5756,4650,15284,10766,19151,24723,12908,19979,11634,10594,13403,11248,12526,9787,13408,9242,15337,10151,19090,11540,53099,60118,85398,62562
201501_3호선_독립문,201501,3호선,독립문,5374,4588,14781,9163,21100,18250,15345,15971,15945,12312,15488,13455,15402,14152,16020,13273,15624,12854,16384,15061,56600,47972,94863,81107
201501_3호선_동대입구,201501,3호선,동대입구,3415,8647,6843,18447,10291,59396,8931,31595,12242,23694,15937,24352,18072,22092,20075,15164,23060,16432,32280,16372,29480,118085,121666,118106
201501_3호선_매봉,201501,3호선,매봉,6193,8159,16053,19655,21047,74587,15330,43050,15063,13995,16761,14390,17947,14189,19963,14298,20654,14854,29442,16772,58623,145451,119830,88498
201501_3호선_무악재,201501,3호선,무악재,5240,1607,16654,2548,21183,5469,13306,4366,8048,4771,7699,5462,6432,6054,6022,7307,5760,8280,6576,10165,56383,13990,40537,42039
201501_3호선_불광,201501,3호선,불광,19692,8259,59748,9960,72881,30422,40297,37555,29181,33110,32578,36283,32307,36890,33480,36783,36159,39716,38255,43205,192618,86196,201960,225987
201501_3호선_수서,201501,3호선,수서,12479,9493,32726,18453,35851,45424,24233,22093,19421,13969,20871,15767,19825,16635,20005,18171,21940,20595,27500,23510,105289,95463,129562,108647
201501_3호선_신사,201501,3호선,신사,8604,19818,15185,42794,24021,123122,20745,124641,34257,63252,43654,70718,52679,67276,61435,65197,69720,62517,85997,66903,68555,310375,347742,395863
201501_3호선_안국,201501,3호선,안국,3479,19948,7433,104030,11780,121828,12979,89200,40977,67171,44272,63082,52215,59172,60119,49358,67768,41575,88146,35331,35671,335006,353497,315689
201501_3호선_압구정,201501,3호선,압구정,11005,25174,20656,55786,33739,180097,25118,196000,54705,74761,62641,88192,73403,84255,85219,73975,92658,70960,105886,71551,90518,457057,474512,463694
201501_3호선_약수,201501,3호선,약수,11104,5731,27596,11125,45966,39427,32389,27575,25665,19358,27635,21018,25273,21378,24407,22938,25233,25159,27437,29225,117055,83858,155650,139076
201501_3호선_양재,201501,3호선,양재,15232,41752,38350,112042,55237,268466,42225,139435,50714,56915,63617,62711,65016,59593,72498,56601,74381,57874,109962,66802,151044,561695,436188,360496
201501_3호선_연신내,201501,3호선,연신내,50051,13145,146466,20245,181718,36537,99984,40257,70850,43973,68984,48384,62863,53834,61055,63223,62227,77072,64693,86832,478219,110184,390672,373318
201501_3호선_오금,201501,3호선,오금,6758,1819,24702,4928,34169,17525,18014,7809,10739,6216,10769,7621,9004,7998,8424,8590,9206,10342,10556,12516,83643,32081,58698,53283
201501_3호선_옥수,201501,3호선,옥수,9124,4196,26490,7164,39831,16770,27356,13113,18088,13604,19567,15024,17463,15923,16470,19135,16863,20816,19915,24451,102801,41243,108366,108953
201501_3호선_을지로3가,201501,3호선,을지로3가,975,6878,1679,32076,3101,84364,5258,43664,9988,16007,13330,16624,15595,15176,17538,14048,18761,12719,25121,11281,11013,166982,100333,85855
201501_3호선_일원,201501,3호선,일원,7848,9019,21369,20596,22488,23206,16765,23412,21532,19718,19417,21601,21395,19656,23292,16121,25553,14745,27198,14596,68470,76233,138387,106437
201501_3호선_잠원,201501,3호선,잠원,5379,7892,15147,6531,23200,9869,13608,9270,10150,8330,10568,8820,9659,8573,10032,9001,10332,10290,14187,11952,57334,33562,64928,56966
201501_3호선_종로3가,201501,3호선,종로3가,1227,3376,1631,12269,2788,44871,4484,44849,11347,28987,13903,33264,16428,30581,20913,23970,27588,19961,31350,17849,10130,105365,121529,154612
201501_3호선_지축,201501,3호선,지축,1153,715,4480,1329,5457,1848,3714,1203,2350,1556,2301,1896,2002,1918,2191,2417,1981,2977,1739,3084,14804,5095,12564,13848
201501_3호선_충무로,201501,3호선,충무로,0,0,0,0,1,0,1,0,0,0,2,0,2,0,7,0,4,0,7,0,2,0,22,0
201501_3호선_학여울,201501,3호선,학여울,1611,1531,4326,3572,5222,9444,3659,7013,5824,9434,8414,9994,10236,9125,11675,6950,12204,5268,10586,4705,14818,21560,58939,45476
201501_3호선_홍제,201501,3호선,홍제,21987,6864,69468,11926,85880,27753,53513,21060,36785,24096,36169,25316,32857,27904,30452,33377,30625,38228,31073,42333,230848,67603,197961,191254
201501_4호선_길음,201501,4호선,길음,35804,9562,110873,16457,116472,37197,69023,35046,43987,29932,44299,33828,39531,35804,36353,40788,41066,45478,46037,55845,332172,98262,251273,241675
201501_4호선_남태령,201501,4호선,남태령,626,562,1677,1679,3339,2876,2567,1432,1633,1167,2128,1347,2543,1213,1629,1268,2027,1411,2436,1916,8209,6549,12396,8322
201501_4호선_노원,201501,4호선,노원,30613,9336,64281,14674,73239,33083,45325,41572,39293,33460,39982,38810,38544,40227,39249,45126,41374,51031,44279,60364,213458,98665,242721,269018
201501_4호선_당고개,201501,4호선,당고개,18211,7518,53191,8804,55687,13402,35778,14982,24238,14915,23894,16463,22158,17326,20435,20193,19969,23781,20380,27143,162867,44706,131074,119821
201501_4호선_동대문,201501,4호선,동대문,5308,14566,5981,43598,9712,103433,14512,87961,39451,54508,47886,55518,61630,57272,69773,48597,76795,39328,100742,29746,35513,249558,396277,284969
201501_4호선_동대문역사문화공원,201501,4호선,동대문역사문화공원,7241,14815,9590,35366,12200,92720,14044,48419,24984,35609,29736,40491,38086,40923,46593,36801,54295,33557,66583,33811,43075,191320,260277,221192
201501_4호선_동작,201501,4호선,동작,1532,1738,4503,3769,7255,6129,4911,3775,3935,2746,4151,3694,3936,3808,3999,4113,4400,4325,4883,4659,18201,15411,25304,23345
201501_4호선_명동,201501,4호선,명동,3074,19314,5958,54235,9533,141414,18892,106577,38317,98671,50846,108804,63776,101788,80292,99368,94729,96616,116391,94637,37457,321540,444351,599884
201501_4호선_미아,201501,4호선,미아,23354,5827,64853,12007,78434,35329,47272,23936,32522,22664,33573,25822,30167,27068,29190,29286,30266,33564,31922,37047,213913,77099,187640,175451
201501_4호선_미아사거리,201501,4호선,미아사거리,41488,10702,116358,15808,134585,37194,84451,44192,54374,41773,56805,44363,53446,48493,51579,56957,53415,65996,56078,78080,376882,107896,325697,335662
201501_4호선_사당,201501,4호선,사당,30147,20197,89032,29203,115007,45946,82952,35976,53116,37140,56422,36708,52601,35684,48822,39127,46629,46700,52323,63137,317138,131322,309913,258496
201501_4호선_삼각지,201501,4호선,삼각지,2167,4984,5462,16255,9287,32065,6651,14199,7649,13189,10838,12955,10451,12075,10331,11416,10702,10776,14438,11992,23567,67503,64409,72403
201501_4호선_상계,201501,4호선,상계,42099,8301,106446,9104,94046,22270,57091,20344,38111,21958,36306,24647,31160,26746,28944,29983,28775,37665,30494,44644,299682,60019,193790,185643
201501_4호선_서울역,201501,4호선,서울역,5324,13874,10483,34622,14573,88178,13045,35241,15555,26186,15657,29814,15133,30420,15599,34316,17304,37607,23551,39567,43425,171915,102799,197910
201501_4호선_성신여대입구,201501,4호선,성신여대입구,22149,9329,62260,16105,73401,45970,48856,36029,42073,33322,42896,36988,40795,38741,42396,41362,45577,44232,52601,51796,206666,107433,266338,246441
201501_4호선_수유(강북구청),201501,4호선,수유(강북구청),56906,15248,158768,24424,179149,67949,111349,55566,77339,49830,75130,54850,67901,59864,66307,70238,69036,80805,74564,97168,506172,163187,430277,412755
201501_4호선_숙대입구,201501,4호선,숙대입구,9172,9489,20370,26586,32480,68514,25141,37975,25180,22408,26629,24863,27586,23500,27686,23924,31761,24785,38183,29327,87163,142564,177025,148807
201501_4호선_신용산,201501,4호선,신용산,4254,11352,10088,23659,15174,73403,12608,51549,16304,22214,20155,23554,20787,23744,24658,23172,26191,22762,35042,23983,42124,159963,143137,139429
201501_4호선_쌍문,201501,4호선,쌍문,56130,10585,149688,15005,159613,30980,94727,27634,59625,29276,54845,32836,47016,36729,43745,43948,43449,52658,46462,66828,460158,84204,295142,262275
201501_4호선_이촌,201501,4호선,이촌,4981,8162,12488,14617,18830,32551,13522,28262,19545,22339,21513,26394,21226,23435,26642,20705,32545,17553,32825,17195,49821,83592,154296,127621
201501_4호선_창동,201501,4호선,창동,42523,12352,111102,17730,102166,41952,66673,39025,53654,39173,51908,46495,47409,51294,48439,55572,49705,62385,51988,71751,322464,111059,303103,326670
201501_4호선_총신대입구,201501,4호선,총신대입구,19116,10118,56002,18123,75753,50152,46106,41558,37567,33548,40483,37523,38146,40388,37635,45511,37750,49931,41134,61064,196977,119951,232715,267965
201501_4호선_충무로,201501,4호선,충무로,5569,19490,10263,62601,18425,235466,23122,138557,36214,51817,44527,57339,50056,54856,58246,46476,67359,43983,89770,44906,57379,456114,346172,299377
201501_4호선_한성대입구,201501,4호선,한성대입구,13654,6876,35423,14412,47606,30408,32117,30697,27904,21890,28919,22480,26693,22712,26294,24141,27860,26415,34339,30488,128800,82393,172009,148126
201501_4호선_혜화,201501,4호선,혜화,9105,18983,18385,47277,27836,122663,28657,104097,52148,98767,57036,122469,67105,118902,86718,98767,106393,95852,133339,100158,83983,293020,502739,634915
201501_4호선_회현,201501,4호선,회현,4233,29134,6195,62587,10057,154443,14004,111882,41909,77381,57850,70341,73496,68093,82128,56856,90710,42627,111670,31487,34489,358046,457763,346785
201501_5호선_강동,201501,5호선,강동,22252,15330,64781,20719,84775,36568,44003,23360,31090,19717,30946,21549,28004,22564,27708,24143,29540,27217,39904,31891,215811,95977,187192,147081
201501_5호선_개롱,201501,5호선,개롱,8376,3282,25609,9065,22629,18874,13102,10974,14965,7942,12081,9120,10485,9410,11268,10649,11161,12236,13532,14341,69716,42195,73492,63698
201501_5호선_개화산,201501,5호선,개화산,7761,4145,23865,6353,21612,18554,11761,7211,9228,6537,9128,6654,7905,6999,7992,7387,8250,9053,11275,9828,64999,36263,53778,46458
201501_5호선_거여,201501,5호선,거여,10654,3033,28404,4920,30425,12883,17295,9059,12801,7599,12808,8697,11742,9344,10227,10809,10436,13201,11821,14778,86778,29895,69835,64428
201501_5호선_고덕,201501,5호선,고덕,9636,7877,26325,10146,23171,16397,13797,13356,16996,11585,15507,13832,15313,13586,16359,12990,16930,14227,23165,16196,72929,47776,104270,82416
201501_5호선_공덕,201501,5호선,공덕,5539,8345,17682,26792,27346,92255,14651,36431,16792,15634,19832,17131,19482,16376,19298,16303,21209,17984,30966,22231,65218,163823,127579,105659
201501_5호선_광나루,201501,5호선,광나루,14767,9859,43537,15182,56512,36479,31776,24064,22795,18774,25203,19976,23075,18661,25266,20370,25250,21913,29214,25125,146592,85584,150803,124819
201501_5호선_광화문,201501,5호선,광화문,3926,27526,10711,109811,18414,276964,16605,113919,33887,56704,47336,63863,55578,58918,66042,52620,79069,49784,106922,52310,49656,528220,388834,334199
201501_5호선_군자,201501,5호선,군자,9724,4832,31275,7581,47864,25489,21842,17478,15243,13207,16436,15452,14322,16788,13988,18650,15365,20600,18840,27475,110705,55380,94194,112172
201501_5호선_굽은다리,201501,5호선,굽은다리,12531,2479,38855,5623,41317,13613,21997,11714,17485,11873,17786,12673,15166,13786,14183,14971,14968,17336,16456,20755,114700,33429,96044,91394
201501_5호선_길동,201501,5호선,길동,8542,3564,24959,5754,30320,18587,16610,11890,12713,9694,12925,10512,12004,12018,11532,13707,11997,15815,14296,18377,80431,39795,75467,80123
201501_5호선_김포공항,201501,5호선,김포공항,1762,7381,6724,13329,8253,14753,7877,12778,12824,17463,14109,18481,16438,19483,19494,17925,20893,16612,23229,16235,24616,48241,106987,106199
201501_5호선_까치산,201501,5호선,까치산,40488,9467,131448,11958,159669,24365,80597,24528,50159,28631,47538,32018,40350,36225,37240,44632,38718,54112,40667,64024,412202,70318,254672,259642
201501_5호선_답십리,201501,5호선,답십리,18257,7954,53249,16432,76230,40717,38786,22933,24109,19420,25341,21757,24151,24141,24619,24399,26131,25510,31684,32615,186522,88036,156035,147842
201501_5호선_동대문역사문화공원,201501,5호선,동대문역사문화공원,344,2591,909,11599,1401,39420,2127,18499,3820,4012,3299,5119,3608,4159,5420,3242,4618,3303,7603,3382,4781,72109,28368,23217
201501_5호선_둔촌동,201501,5호선,둔촌동,15073,6603,45394,15364,53286,28946,28247,19823,21988,15652,22405,17523,21880,18747,21205,20398,20471,24614,23514,29249,142000,70736,131463,126183
201501_5호선_마곡,201501,5호선,마곡,4059,3269,15286,1350,14434,2795,6573,2103,5366,2932,4877,3401,4482,3649,4235,4151,5085,4600,7318,4981,40352,9517,31363,23714
201501_5호선_마장,201501,5호선,마장,5272,3144,15501,7191,21983,18225,13031,12901,11755,9577,11037,9148,11134,8251,10530,8507,10936,9616,12330,11636,55787,41461,67722,56735
201501_5호선_마천,201501,5호선,마천,9319,2575,25640,3823,27843,8381,15033,8856,11065,7098,10584,7808,9120,8378,8769,9858,8823,12822,8557,13773,77835,23635,56918,59737
201501_5호선_마포,201501,5호선,마포,7312,8700,24330,26497,33849,83659,19387,40820,18237,18225,21679,19423,21137,18391,21893,18521,23193,20204,30674,24788,84878,159676,136813,119552
201501_5호선_명일,201501,5호선,명일,14595,3711,39315,5457,37602,11061,21363,10637,18214,11435,18203,12656,15310,13852,14255,15569,14320,18502,15189,21824,112875,30866,95491,93838
201501_5호선_목동,201501,5호선,목동,20565,6544,69911,13816,82080,32210,40638,27829,31405,22589,30934,27669,28118,29935,28547,32044,29654,34974,32027,41606,213194,80399,180685,188817
201501_5호선_발산,201501,5호선,발산,8093,7995,25831,10429,25399,31493,13431,23917,15802,19751,18399,19071,19995,15817,21361,15931,22486,17696,25603,19843,72754,73834,123646,108109
