worker_id,base_year_quarter_code,commercial_code,commercial_name,total_worker_population,age_20_worker_population,age_30_worker_population,age_40_worker_population,age_60_plus_worker_population,age_20_40_worker,age_20_40_worker_ratio,age_60_plus_worker_ratio
20254_3001496,20254,3001496,강남 마이스 관광특구,102032,20558,30594,27320,5184,78472,0.769092,0.050808
20254_3001495,20254,3001495,잠실 관광특구,137602,22732,36053,35461,12788,94246,0.684917,0.092935
20254_3001494,20254,3001494,종로?청계 관광특구,46516,9450,13848,12650,2472,35948,0.772809,0.053143
20254_3001493,20254,3001493,동대문패션타운 관광특구,33754,9770,8679,6878,2754,25327,0.750341,0.08159
20254_3001492,20254,3001492,명동 남대문 북창동 다동 무교동 관광특구,199667,40531,66760,51480,8772,158771,0.795179,0.043933
20254_3001491,20254,3001491,이태원 관광특구,35826,8135,12085,8265,1370,28485,0.795093,0.03824
20254_3130327,20254,3130327,"평화시장(남평화시장, 제일평화시장, 신평화패션타운)",894,276,192,168,102,636,0.711409,0.114094
20254_3130326,20254,3130326,고덕 골목형상점가,278,14,35,62,70,111,0.399281,0.251799
20254_3130325,20254,3130325,명일전통시장,377,56,101,96,56,253,0.671088,0.148541
20254_3130324,20254,3130324,길동복조리시장,147,20,29,34,27,83,0.564626,0.183673
20254_3130323,20254,3130323,둔촌역전통시장,262,35,61,66,46,162,0.618321,0.175573
20254_3130322,20254,3130322,고분다리전통시장,82,3,12,18,31,33,0.402439,0.378049
20254_3130321,20254,3130321,장신구 특화거리 상점가,1249,145,263,271,248,679,0.543635,0.198559
20254_3130320,20254,3130320,암사종합시장,989,123,214,211,245,548,0.554095,0.247725
20254_3130319,20254,3130319,성내전통시장,95,16,20,23,18,59,0.621053,0.189474
20254_3130318,20254,3130318,로데오거리상점가,625,41,100,135,218,276,0.4416,0.3488
20254_3130317,20254,3130317,마천중앙시장,212,11,50,66,26,127,0.599057,0.122642
20254_3130316,20254,3130316,마천시장,69,5,16,21,8,42,0.608696,0.115942
20254_3130315,20254,3130315,문정동 로데오거리 상점가(문정동 로데오거리),7986,779,1554,2230,621,4563,0.571375,0.077761
20254_3130314,20254,3130314,풍납시장,567,52,127,167,53,346,0.610229,0.093474
20254_3130313,20254,3130313,방이시장,3965,639,1019,897,564,2555,0.644388,0.142245
20254_3130312,20254,3130312,석촌시장,739,89,168,175,156,432,0.584574,0.211096
20254_3130311,20254,3130311,새마을시장,1020,136,197,240,219,573,0.561765,0.214706
20254_3130310,20254,3130310,강남개포시장,5643,992,1610,1354,638,3956,0.701046,0.11306
20254_3130309,20254,3130309,은마종합상점가,1533,278,422,353,182,1053,0.686888,0.118721
20254_3130307,20254,3130307,도곡시장,149,35,41,35,11,111,0.744966,0.073826
20254_3130306,20254,3130306,강남언주로,940,190,285,243,57,718,0.76383,0.060638
20254_3130305,20254,3130305,논현종합시장,137,26,40,34,15,100,0.729927,0.109489
20254_3130304,20254,3130304,신사상가,128,29,39,30,10,98,0.765625,0.078125
20254_3130303,20254,3130303,영동전통시장,996,260,300,212,86,772,0.7751,0.086345
20254_3130302,20254,3130302,강남시장(강남구 강남시장),97,20,29,25,8,74,0.762887,0.082474
20254_3130301,20254,3130301,양재시장,408,96,113,93,41,302,0.740196,0.10049
20254_3130296,20254,3130296,남부종합시장,413,77,107,110,44,294,0.711864,0.106538
20254_3130295,20254,3130295,인헌시장(원당종합시장),528,109,157,138,43,404,0.765152,0.081439
20254_3130294,20254,3130294,관악중부시장,454,67,113,107,63,287,0.632159,0.138767
20254_3130293,20254,3130293,봉천중앙시장,127,12,22,29,25,63,0.496063,0.19685
20254_3130292,20254,3130292,봉천현대시장,53,7,10,11,10,28,0.528302,0.188679
20254_3130291,20254,3130291,봉천제일종합시장,48,8,14,11,4,33,0.6875,0.083333
20254_3130290,20254,3130290,영림시장,868,137,252,214,63,603,0.6947,0.072581
20254_3130289,20254,3130289,봉일시장,157,21,30,33,29,84,0.535032,0.184713
20254_3130288,20254,3130288,신림현대종합상가,56,8,10,14,12,32,0.571429,0.214286
20254_3130287,20254,3130287,삼성동 시장(삼성동시장),30,0,8,9,4,17,0.566667,0.133333
20254_3130286,20254,3130286,신신림시장(삼성동시장),51,4,10,15,7,29,0.568627,0.137255
20254_3130285,20254,3130285,서원동상점가,988,179,216,180,186,575,0.581984,0.188259
