living_population_id,date_id,admin_dong_code,total_living_population,age_20_40_population,age_60_plus_population,age_20_40_ratio,age_60_plus_ratio,morning_living_population,afternoon_living_population,daytime_living_population,morning_score,afternoon_score
20260130_11110515,20260130,11110515,390979.7002,148631.9222,74676.1192,0.380153,0.190997,85467.3379,128060.0419,213527.3798,0.400264,0.599736
20260130_11110530,20260130,11110530,657767.5855,317312.3235,101807.4883,0.482408,0.154777,146567.992,303983.6177,450551.60970000003,0.325308,0.674692
20260130_11110540,20260130,11110540,164098.5659,79236.8732,28081.1529,0.482861,0.171124,36725.565,71594.9445,108320.5095,0.339045,0.660955
20260130_11110550,20260130,11110550,235573.8399,76494.5798,59523.5194,0.324716,0.252675,51099.8297,62672.1693,113771.99900000001,0.449142,0.550858
20260130_11110560,20260130,11110560,421938.7962,115883.8036,123044.5441,0.274646,0.291617,90192.62090000001,106098.9864,196291.6073,0.459483,0.540517
20260130_11110570,20260130,11110570,153878.0612,48652.2015,41046.6416,0.316174,0.266748,33501.3544,40882.7541,74384.1085,0.450383,0.549617
20260130_11110580,20260130,11110580,196359.5402,69856.7633,40577.5063,0.355759,0.206649,42847.6407,61642.9976,104490.6383,0.410062,0.589938
20260130_11110600,20260130,11110600,141770.4633,63391.5415,24447.5301,0.447142,0.172444,32803.3744,62303.1319,95106.50630000001,0.344912,0.655088
20260130_11110615,20260130,11110615,1674430.4063,844412.9286,276406.3324,0.504299,0.165075,343529.9716,820339.847,1163869.8185999999,0.295162,0.704838
20260130_11110630,20260130,11110630,368505.1124,155340.2978,89939.0894,0.421542,0.244065,80760.8328,166371.1164,247131.9492,0.326792,0.673208
20260130_11110640,20260130,11110640,762597.326,390466.6877,118366.9506,0.512022,0.155216,169018.1668,319578.6689,488596.8357,0.345926,0.654074
20260130_11110650,20260130,11110650,642162.0892,335777.64639999997,101323.46,0.522886,0.157785,124803.97039999999,197648.3422,322452.3126,0.387046,0.612954
20260130_11110670,20260130,11110670,188330.6828,71712.2924,53824.3412,0.380779,0.285797,40024.5117,57560.0619,97584.5736,0.410152,0.589848
20260130_11110680,20260130,11110680,174938.8808,58217.9096,58438.7705,0.33279,0.334053,36539.3102,46316.1745,82855.4847,0.441001,0.558999
20260130_11110690,20260130,11110690,82191.8963,28864.963,23136.5208,0.35119,0.281494,17448.5598,18430.3371,35878.8969,0.486318,0.513682
20260130_11110700,20260130,11110700,201062.643,73405.6957,56500.6876,0.365089,0.28101,41570.6699,58416.0994,99986.7693,0.415762,0.584238
20260130_11110710,20260130,11110710,280011.4344,121179.2478,70213.6388,0.432765,0.250753,61516.6636,93298.1454,154814.809,0.397356,0.602644
20260130_11140520,20260130,11140520,761018.878,409913.44310000003,75907.5136,0.538638,0.099745,190454.6661,411865.3503,602320.0164,0.316202,0.683798
20260130_11140540,20260130,11140540,763731.1072,372730.20540000004,128051.9555,0.488039,0.167666,179810.773,417490.2637,597301.0367,0.301039,0.698961
20260130_11140550,20260130,11140550,1086861.2829,620585.9945,106281.1954,0.570989,0.097787,255507.8188,569594.4094,825102.2282,0.309668,0.690332
20260130_11140570,20260130,11140570,378555.541,187442.5508,60481.7484,0.495152,0.15977,82999.6199,165863.0745,248862.69439999998,0.333516,0.666484
20260130_11140580,20260130,11140580,261871.2122,144249.4484,39687.0477,0.550841,0.151552,54877.2038,104717.939,159595.1428,0.343853,0.656147
20260130_11140590,20260130,11140590,658099.2925,329791.6279,118672.7211,0.501127,0.180326,139679.8463,287553.8391,427233.68539999996,0.32694,0.67306
20260130_11140605,20260130,11140605,476561.0708,226563.43219999998,92119.65090000001,0.475413,0.193301,104290.87299999999,230310.8292,334601.7022,0.311687,0.688313
20260130_11140615,20260130,11140615,493563.6686,233428.6671,102595.5498,0.472945,0.207867,107058.2751,155991.3773,263049.6524,0.406989,0.593011
20260130_11140625,20260130,11140625,355651.9476,154051.1113,75744.25289999999,0.433151,0.212973,73633.6991,111958.182,185591.8811,0.396751,0.603249
20260130_11140635,20260130,11140635,324383.0542,114003.755,93287.4614,0.351448,0.287584,65009.6266,83551.0058,148560.6324,0.437597,0.562403
20260130_11140645,20260130,11140645,222930.7759,84210.4958,54302.116799999996,0.377743,0.243583,46516.7326,56348.8486,102865.5812,0.452209,0.547791
20260130_11140650,20260130,11140650,154892.3556,62632.176699999996,38500.667499999996,0.404359,0.248564,30757.6005,43538.3875,74295.988,0.413987,0.586013
20260130_11140665,20260130,11140665,291103.5473,102979.7478,80079.8129,0.353756,0.27509,60522.1265,83347.7063,143869.8328,0.420673,0.579327
20260130_11140670,20260130,11140670,294003.8128,131516.5662,64061.6464,0.447329,0.217894,61081.8065,78722.1975,139804.004,0.43691,0.56309
20260130_11140680,20260130,11140680,206989.8228,88063.9887,44069.3137,0.425451,0.212906,46075.4742,76267.994,122343.4682,0.376608,0.623392
20260130_11170510,20260130,11170510,297793.2709,118052.8847,66356.2625,0.396426,0.222827,62782.5466,77628.0177,140410.5643,0.447135,0.552865
20260130_11170520,20260130,11170520,266660.75800000003,123200.3129,52411.5296,0.462011,0.196548,52681.4082,75561.1833,128242.59150000001,0.410795,0.589205
20260130_11170530,20260130,11170530,449147.2733,229613.1076,74350.4855,0.51122,0.165537,101235.8317,192001.8111,293237.6428,0.345235,0.654765
20260130_11170555,20260130,11170555,509746.1882,262901.3588,88663.5952,0.51575,0.173937,107849.5493,147022.9767,254872.526,0.423151,0.576849
20260130_11170560,20260130,11170560,462648.89650000003,232306.68110000002,67640.4311,0.502123,0.146203,99219.946,137881.4795,237101.42549999998,0.41847,0.58153
20260130_11170570,20260130,11170570,341202.9147,137175.6386,75261.6957,0.402035,0.220578,74213.1592,92002.7629,166215.9221,0.446486,0.553514
20260130_11170580,20260130,11170580,230360.7551,97448.5958,45903.8147,0.423026,0.199269,50106.218199999996,65356.0257,115462.2439,0.433962,0.566038
