canonical_name,alias_name,district,place_type,source,note
남대문시장,남대문시장 입구,중구,전통시장,manual_alias_seed,market entrance alias
남대문시장,남대문시장 남문,중구,전통시장,manual_alias_seed,market gate alias
남대문시장,남대문시장 회현역 방면,중구,전통시장,manual_alias_seed,nearby station alias
황학시장,황학시장 입구,중구,전통시장,manual_alias_seed,market entrance alias
영등포전통시장,영등포전통시장 남문,영등포구,전통시장,manual_alias_seed,market gate alias
대림중앙시장,대림중앙시장,영등포구,전통시장,manual_alias_seed,canonical market alias
공릉도깨비시장,공릉도깨비시장,노원구,전통시장,manual_alias_seed,missing market source alias
동원시장,동원시장,중랑구,전통시장,manual_alias_seed,missing market source alias
우림시장,우림시장,중랑구,전통시장,manual_alias_seed,missing market source alias
가락몰 농수산물시장,가락몰 농수산물시장,송파구,전통시장,manual_alias_seed,agricultural market alias
가락몰 농수산물시장,가락시장 농수산물시장,송파구,전통시장,manual_alias_seed,common market alias
금천현대시장,금천 현대시장,금천구,전통시장,manual_alias_seed,spacing alias
건대 맛의거리,건대 맛의거리,광진구,골목상권,manual_alias_seed,commercial street alias
건대 맛의거리,건대입구 맛의거리,광진구,골목상권,manual_alias_seed,station commercial street alias
성북천 상점가,성북천 상점가,성북구,골목상권,manual_alias_seed,commercial street alias
북촌의 봄,북촌의 봄,종로구,골목상권,manual_alias_seed,local commercial venue alias
아지오 성수점,아지오 성수점,성동구,골목상권,manual_alias_seed,local commercial venue alias
서울고속버스터미널 지하상가,서울고속버스터미널 지하상가,서초구,골목상권,manual_alias_seed,underground shopping district alias
정동길 투썸플레이스,투썸플레이스 정동길점,중구,골목상권,manual_alias_seed,small business meeting venue alias
성수역,성수역 3번출구 앞,성동구,골목상권,manual_alias_seed,station exit commercial alias
성수동 카페거리,성수동 카페거리,성동구,골목상권,manual_alias_seed,commercial street alias
강남역,강남역 일대,강남구,교통거점,manual_alias_seed,station area alias
강남역,강남역 11번 출구,강남구,교통거점,manual_alias_seed,station exit alias
왕십리역,왕십리역 광장,성동구,교통거점,manual_alias_seed,station plaza alias
왕십리역,왕십리역 6번 출구,성동구,교통거점,manual_alias_seed,station exit alias
청계천,청계천 산책로,종로구,공원,manual_alias_seed,stream walkway alias
청계광장,청계광장,종로구,공원,manual_alias_seed,public plaza alias
도림천,도림천,관악구,공원,manual_alias_seed,stream walkway source expansion
응봉산 팔각정,응봉산 팔각정,성동구,공원,manual_alias_seed,park observatory alias
장안동 벚꽃길,장안동 벚꽃길,동대문구,공원,manual_alias_seed,walking path alias
파리공원,파리공원,양천구,공원,manual_alias_seed,park source expansion
양재천 수변무대,양재천 수변무대 일대,양천구,공원,manual_alias_seed,stream stage alias
홍제천 인공폭포,홍제천 인공폭포,서대문구,공원,manual_alias_seed,stream landmark alias
불암산철쭉동산,불암산철쭉동산,노원구,공원,manual_alias_seed,park festival venue alias
불광천,불광천,은평구,공원,manual_alias_seed,stream walkway source expansion
잠수대교 남단,잠수대교 남단,서초구,공원,manual_alias_seed,han river running venue alias
샛강생태공원,샛강생태공원,영등포구,공원,manual_alias_seed,ecological park alias
먹골역 7번출구,먹골역 7번출구 앞,중랑구,공원,manual_alias_seed,festival station-side park alias
잠실학생체육관,잠실학생체육관,송파구,체육시설,manual_alias_seed,sports facility alias
마들스포츠타운,마들스포츠타운,노원구,체육시설,manual_alias_seed,sports facility alias
서울월드컵경기장,마포구 월드컵로 251,마포구,체육시설,manual_alias_seed,address to sports venue alias
