district,total_gold_count,missing_count,missing_ratio_among_group,missing_ratio_among_missing,raw_coverage_count,raw_coverage_rate,hit_at_10_count,hit_at_10_rate,diagnosis
영등포구,13,0,0.0,0.0,13,1.0,13,1.0,일부 장소 유형 보강 필요
광진구,12,0,0.0,0.0,12,1.0,11,0.9166666666666666,일부 장소 유형 보강 필요
성동구,12,0,0.0,0.0,12,1.0,10,0.8333333333333334,일부 장소 유형 보강 필요
중구,11,0,0.0,0.0,11,1.0,10,0.9090909090909091,일부 장소 유형 보강 필요
종로구,10,0,0.0,0.0,10,1.0,7,0.7,일부 장소 유형 보강 필요
노원구,9,0,0.0,0.0,9,1.0,9,1.0,일부 장소 유형 보강 필요
송파구,9,0,0.0,0.0,9,1.0,9,1.0,일부 장소 유형 보강 필요
강남구,7,0,0.0,0.0,7,1.0,7,1.0,일부 장소 유형 보강 필요
마포구,7,0,0.0,0.0,7,1.0,6,0.8571428571428571,일부 장소 유형 보강 필요
서대문구,7,0,0.0,0.0,7,1.0,7,1.0,일부 장소 유형 보강 필요
중랑구,7,0,0.0,0.0,7,1.0,5,0.7142857142857143,일부 장소 유형 보강 필요
강동구,6,0,0.0,0.0,6,1.0,6,1.0,일부 장소 유형 보강 필요
도봉구,6,0,0.0,0.0,6,1.0,6,1.0,일부 장소 유형 보강 필요
동작구,6,0,0.0,0.0,6,1.0,6,1.0,일부 장소 유형 보강 필요
서초구,6,0,0.0,0.0,6,1.0,6,1.0,일부 장소 유형 보강 필요
양천구,6,0,0.0,0.0,6,1.0,6,1.0,일부 장소 유형 보강 필요
강서구,5,0,0.0,0.0,5,1.0,5,1.0,일부 장소 유형 보강 필요
구로구,5,0,0.0,0.0,5,1.0,5,1.0,일부 장소 유형 보강 필요
동대문구,5,0,0.0,0.0,5,1.0,5,1.0,일부 장소 유형 보강 필요
성북구,5,0,0.0,0.0,5,1.0,5,1.0,일부 장소 유형 보강 필요
용산구,4,0,0.0,0.0,4,1.0,4,1.0,일부 장소 유형 보강 필요
강북구,3,0,0.0,0.0,3,1.0,3,1.0,일부 장소 유형 보강 필요
관악구,3,0,0.0,0.0,3,1.0,3,1.0,일부 장소 유형 보강 필요
은평구,3,0,0.0,0.0,3,1.0,3,1.0,일부 장소 유형 보강 필요
금천구,2,0,0.0,0.0,2,1.0,2,1.0,일부 장소 유형 보강 필요
