query_id,rank,recommended_place_name,recommended_district,recommended_place_type,baseline_score,district_bonus,place_type_bonus,time_bonus,context_bonus,target_bonus,score
2026-03-10_17:40_중구,1,남대문시장,중구,market,0.7056,0.0,0.15,0.0,0.0,0.0,0.8556
2026-03-10_17:40_중구,2,평화시장,중구,market,0.5528,0.0,0.15,0.0,0.0,0.0,0.7028
2026-03-10_17:40_중구,3,삼익패션타운,중구,market,0.5222,0.0,0.15,0.0,0.0,0.0,0.6722
2026-03-10_17:40_중구,4,동평화시장,중구,market,0.5126,0.0,0.15,0.0,0.0,0.0,0.6626
2026-03-10_17:40_중구,5,청평화시장,중구,market,0.5024,0.0,0.15,0.0,0.0,0.0,0.6524
2026-03-10_17:40_중구,6,신평화패션타운,중구,market,0.4993,0.0,0.15,0.0,0.0,0.0,0.6493
2026-03-10_17:40_중구,7,방산시장,중구,market,0.4988,0.0,0.15,0.0,0.0,0.0,0.6488
2026-03-10_17:40_중구,8,광희패션몰,중구,market,0.4973,0.0,0.15,0.0,0.0,0.0,0.6473
2026-03-10_17:40_중구,9,통일상가,중구,market,0.4936,0.0,0.15,0.0,0.0,0.0,0.6436
2026-03-10_17:40_중구,10,중부시장,중구,market,0.4895,0.0,0.15,0.0,0.0,0.0,0.6395
2026-03-11_15:10_영등포구,1,남대문시장,중구,market,0.7056,0.0,0.15,0.0,0.0,0.0,0.8556
2026-03-11_15:10_영등포구,2,동대문종합시장,종로구,market,0.6301,0.0,0.15,0.0,0.0,0.0,0.7801
2026-03-11_15:10_영등포구,3,장안 마실 골목형상점가,동대문구,market,0.6299,0.0,0.15,0.0,0.0,0.0,0.7799
2026-03-11_15:10_영등포구,4,영등포유통상가,영등포구,market,0.5381,0.0,0.15,0.0,0.0,0.0,0.6881
2026-03-11_15:10_영등포구,5,영등포시장기계공구상가,영등포구,market,0.4939,0.0,0.15,0.0,0.0,0.0,0.6439
2026-03-11_15:10_영등포구,6,영등포청과시장,영등포구,market,0.478,0.0,0.15,0.0,0.0,0.0,0.628
2026-03-11_15:10_영등포구,7,영등포전통시장,영등포구,market,0.4708,0.0,0.15,0.0,0.0,0.0,0.6208
2026-03-11_15:10_영등포구,8,대림중앙시장,영등포구,market,0.4696,0.0,0.15,0.0,0.0,0.0,0.6196
2026-03-11_15:10_영등포구,9,우리시장,영등포구,market,0.4695,0.0,0.15,0.0,0.0,0.0,0.6195
2026-03-11_15:10_영등포구,10,선유로운골목형상점가,영등포구,market,0.4686,0.0,0.15,0.0,0.0,0.0,0.6186
2026-03-11_16:20_영등포구,1,남대문시장,중구,market,0.7056,0.0,0.15,0.0,0.0,0.0,0.8556
2026-03-11_16:20_영등포구,2,동대문종합시장,종로구,market,0.6301,0.0,0.15,0.0,0.0,0.0,0.7801
2026-03-11_16:20_영등포구,3,장안 마실 골목형상점가,동대문구,market,0.6299,0.0,0.15,0.0,0.0,0.0,0.7799
2026-03-11_16:20_영등포구,4,영등포유통상가,영등포구,market,0.5381,0.0,0.15,0.0,0.0,0.0,0.6881
2026-03-11_16:20_영등포구,5,영등포시장기계공구상가,영등포구,market,0.4939,0.0,0.15,0.0,0.0,0.0,0.6439
2026-03-11_16:20_영등포구,6,영등포청과시장,영등포구,market,0.478,0.0,0.15,0.0,0.0,0.0,0.628
2026-03-11_16:20_영등포구,7,영등포전통시장,영등포구,market,0.4708,0.0,0.15,0.0,0.0,0.0,0.6208
2026-03-11_16:20_영등포구,8,대림중앙시장,영등포구,market,0.4696,0.0,0.15,0.0,0.0,0.0,0.6196
2026-03-11_16:20_영등포구,9,우리시장,영등포구,market,0.4695,0.0,0.15,0.0,0.0,0.0,0.6195
2026-03-11_16:20_영등포구,10,선유로운골목형상점가,영등포구,market,0.4686,0.0,0.15,0.0,0.0,0.0,0.6186
2026-03-12_16:00_강서구,1,공항동 먹자골목 골목형상점가,강서구,market,0.494,0.0,0.15,0.0,0.0,0.0,0.644
