query_id,k,precision_at_k,recall_at_k,ndcg_at_k,hits,total_relevant,recommended_count_at_k,matched_gold_ids,match_methods
2026-03-10_17:40_중구,1,0.0,0.0,0.0,0,1,1,,
2026-03-10_17:40_중구,3,0.0,0.0,0.0,0,1,3,,
2026-03-10_17:40_중구,5,0.0,0.0,0.0,0,1,5,,
2026-03-10_17:40_중구,10,0.0,0.0,0.0,0,1,10,,
2026-03-11_15:10_영등포구,1,0.0,0.0,0.0,0,1,1,,
2026-03-11_15:10_영등포구,3,0.0,0.0,0.0,0,1,3,,
2026-03-11_15:10_영등포구,5,0.2,1.0,0.38685280723454163,1,1,5,GWON_009,partial
2026-03-11_15:10_영등포구,10,0.1,1.0,0.38685280723454163,1,1,10,GWON_009,partial
2026-03-11_16:20_영등포구,1,0.0,0.0,0.0,0,1,1,,
2026-03-11_16:20_영등포구,3,0.0,0.0,0.0,0,1,3,,
2026-03-11_16:20_영등포구,5,0.0,0.0,0.0,0,1,5,,
2026-03-11_16:20_영등포구,10,0.1,1.0,0.3562071871080222,1,1,10,GWON_010,exact
2026-03-12_16:00_강서구,1,0.0,0.0,0.0,0,1,1,,
2026-03-12_16:00_강서구,3,0.0,0.0,0.0,0,1,3,,
2026-03-12_16:00_강서구,5,0.0,0.0,0.0,0,1,5,,
2026-03-12_16:00_강서구,10,0.1,1.0,0.3010299956639812,1,1,10,GWON_015,exact
2026-03-12_17:25_강서구,1,0.0,0.0,0.0,0,1,1,,
2026-03-12_17:25_강서구,3,0.0,0.0,0.0,0,1,3,,
2026-03-12_17:25_강서구,5,0.2,1.0,0.38685280723454163,1,1,5,GWON_016,exact
2026-03-12_17:25_강서구,10,0.1,1.0,0.38685280723454163,1,1,10,GWON_016,exact
2026-03-13_14:10_노원구,1,0.0,0.0,0.0,0,1,1,,
2026-03-13_14:10_노원구,3,0.3333333333333333,1.0,0.5,1,1,3,GWON_017,exact
2026-03-13_14:10_노원구,5,0.2,1.0,0.5,1,1,5,GWON_017,exact
2026-03-13_14:10_노원구,10,0.1,1.0,0.5,1,1,10,GWON_017,exact
2026-03-13_14:50_노원구,1,0.0,0.0,0.0,0,1,1,,
2026-03-13_14:50_노원구,3,0.0,0.0,0.0,0,1,3,,
2026-03-13_14:50_노원구,5,0.0,0.0,0.0,0,1,5,,
2026-03-13_14:50_노원구,10,0.0,0.0,0.0,0,1,10,,
2026-03-13_15:30_노원구,1,0.0,0.0,0.0,0,1,1,,
2026-03-13_15:30_노원구,3,0.0,0.0,0.0,0,1,3,,
2026-03-13_15:30_노원구,5,0.0,0.0,0.0,0,1,5,,
2026-03-13_15:30_노원구,10,0.0,0.0,0.0,0,1,10,,
2026-03-16_13:00_구로구,1,0.0,0.0,0.0,0,1,1,,
2026-03-16_13:00_구로구,3,0.3333333333333333,1.0,0.5,1,1,3,GWON_021,exact
2026-03-16_13:00_구로구,5,0.2,1.0,0.5,1,1,5,GWON_021,exact
2026-03-16_13:00_구로구,10,0.1,1.0,0.5,1,1,10,GWON_021,exact
2026-03-16_14:00_구로구,1,0.0,0.0,0.0,0,1,1,,
2026-03-16_14:00_구로구,3,0.0,0.0,0.0,0,1,3,,
2026-03-16_14:00_구로구,5,0.0,0.0,0.0,0,1,5,,
2026-03-16_14:00_구로구,10,0.0,0.0,0.0,0,1,10,,
2026-03-17_14:00_마포구,1,0.0,0.0,0.0,0,1,1,,
2026-03-17_14:00_마포구,3,0.0,0.0,0.0,0,1,3,,
2026-03-17_14:00_마포구,5,0.2,1.0,0.43067655807339306,1,1,5,GWON_025,partial
2026-03-17_14:00_마포구,10,0.1,1.0,0.43067655807339306,1,1,10,GWON_025,partial
2026-03-19_10:00_송파구,1,0.0,0.0,0.0,0,1,1,,
2026-03-19_10:00_송파구,3,0.0,0.0,0.0,0,1,3,,
2026-03-19_10:00_송파구,5,0.0,0.0,0.0,0,1,5,,
2026-03-19_10:00_송파구,10,0.0,0.0,0.0,0,1,10,,
2026-03-24_17:00_광화문,1,0.0,0.0,0.0,0,1,1,,
2026-03-24_17:00_광화문,3,0.0,0.0,0.0,0,1,3,,
2026-03-24_17:00_광화문,5,0.0,0.0,0.0,0,1,5,,
2026-03-24_17:00_광화문,10,0.0,0.0,0.0,0,1,10,,
2026-03-24_17:40_종로구,1,0.0,0.0,0.0,0,1,1,,
2026-03-24_17:40_종로구,3,0.0,0.0,0.0,0,1,3,,
2026-03-24_17:40_종로구,5,0.0,0.0,0.0,0,1,5,,
2026-03-24_17:40_종로구,10,0.1,1.0,0.31546487678572877,1,1,10,GWON_032,normalized
2026-03-25_17:20_광진구,1,0.0,0.0,0.0,0,1,1,,
2026-03-25_17:20_광진구,3,0.0,0.0,0.0,0,1,3,,
2026-03-25_17:20_광진구,5,0.2,1.0,0.43067655807339306,1,1,5,GWON_034,exact
2026-03-25_17:20_광진구,10,0.1,1.0,0.43067655807339306,1,1,10,GWON_034,exact
