trial_id,baseline_weight,district_weight,place_type_weight,time_weight,context_weight,target_weight,rank_weight,train_P@1,train_R@1,train_NDCG@1,train_P@3,train_R@3,train_NDCG@3,train_P@5,train_R@5,train_NDCG@5,train_P@10,train_R@10,train_NDCG@10,train_optimization_score
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.00847457627118644,0.025423728813559324,0.022296014860775065,0.015254237288135596,0.07627118644067797,0.04308065974148526,0.023728813559322035,0.23728813559322035,0.09273089778446361,0.06364225490252837
2,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0847457627118644,0.0847457627118644,0.0847457627118644,0.06779661016949151,0.2033898305084746,0.1529443900726412,0.07796610169491523,0.3898305084745763,0.23064030551113854,0.06440677966101693,0.6440677966101694,0.3131879576291825,0.21656493771258672
3,1.0,0.3,0.1,0.05,0.05,0.05,0.05,0.13559322033898305,0.13559322033898305,0.13559322033898305,0.1016949152542373,0.3050847457627119,0.234763447427364,0.0966101694915254,0.4830508474576271,0.30918094924522965,0.0830508474576271,0.8305084745762712,0.42221301433193803,0.2947237075585512
4,1.0,0.5,0.1,0.1,0.1,0.05,0.0,0.2711864406779661,0.2711864406779661,0.2711864406779661,0.17514124293785305,0.5254237288135594,0.41827742003632407,0.135593220338983,0.6779661016949152,0.481002742397428,0.09067796610169489,0.9067796610169492,0.5547805722856348,0.40123534719262754
5,1.0,0.2,0.2,0.05,0.1,0.0,0.0,0.11016949152542373,0.11016949152542373,0.11016949152542373,0.09887005649717515,0.2966101694915254,0.22003344325060903,0.10508474576271183,0.5254237288135594,0.3144928145112382,0.08389830508474574,0.8389830508474576,0.4133469639234246,0.28639460121500654
6,1.0,0.2,0.0,0.1,0.0,0.1,0.0,0.0847457627118644,0.0847457627118644,0.0847457627118644,0.06497175141242938,0.19491525423728814,0.14870710193704798,0.07796610169491523,0.3898305084745763,0.22931004327720367,0.07118644067796608,0.711864406779661,0.33201312222357293,0.22936843458616013
7,1.0,0.5,0.3,0.2,0.05,0.0,0.05,0.2288135593220339,0.2288135593220339,0.2288135593220339,0.14971751412429374,0.4491525423728814,0.3534075152239742,0.12881355932203387,0.6440677966101694,0.43289629340721,0.08983050847457626,0.8983050847457628,0.5156579365785001,0.37033903486462194
8,1.0,0.3,0.1,0.2,0.05,0.2,0.05,0.13559322033898305,0.13559322033898305,0.13559322033898305,0.10734463276836159,0.3220338983050847,0.24212844951574147,0.10169491525423725,0.5084745762711864,0.32019575267321215,0.08220338983050846,0.8220338983050848,0.42216811537306165,0.2954989533749219
9,1.0,0.3,0.1,0.0,0.2,0.1,0.05,0.17796610169491525,0.17796610169491525,0.17796610169491525,0.14124293785310732,0.423728813559322,0.3230389412832979,0.12033898305084742,0.6016949152542372,0.3974564431011635,0.08644067796610168,0.864406779661017,0.48310629341089506,0.34030189195934996
10,1.0,0.3,0.0,0.2,0.0,0.0,0.1,0.11864406779661017,0.11864406779661017,0.11864406779661017,0.096045197740113,0.288135593220339,0.21670472070218214,0.08983050847457626,0.4491525423728814,0.28382261984083773,0.0754237288135593,0.7542372881355932,0.38175757771435503,0.26689198835821637
