trial_id,baseline_weight,district_weight,place_type_weight,time_weight,context_weight,target_weight,rank_weight,train_P@1,train_R@1,train_NDCG@1,train_P@3,train_R@3,train_NDCG@3,train_P@5,train_R@5,train_NDCG@5,train_P@10,train_R@10,train_NDCG@10,train_optimization_score
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.00847457627118644,0.025423728813559324,0.022296014860775065,0.015254237288135596,0.07627118644067797,0.04308065974148526,0.023728813559322035,0.23728813559322035,0.0927308977844636,0.06364225490252837
2,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.07627118644067797,0.07627118644067797,0.07627118644067797,0.02824858757062147,0.0847457627118644,0.08161804875908014,0.03389830508474576,0.1694915254237288,0.11700189899821045,0.023728813559322035,0.23728813559322035,0.13928951969592007,0.10058749008566242
3,1.0,0.3,0.1,0.05,0.05,0.05,0.05,0.0847457627118644,0.0847457627118644,0.0847457627118644,0.036723163841807904,0.11016949152542373,0.09856720130145304,0.03898305084745763,0.19491525423728814,0.13395105154058334,0.023728813559322035,0.23728813559322035,0.14838312688228997,0.10809228649919696
4,1.0,0.5,0.1,0.1,0.1,0.05,0.0,0.1016949152542373,0.1016949152542373,0.1016949152542373,0.05367231638418079,0.16101694915254236,0.1357942289346257,0.04237288135593221,0.211864406779661,0.15657887381533586,0.023728813559322035,0.23728813559322035,0.16544114252338146,0.12202869366849425
5,1.0,0.2,0.2,0.05,0.1,0.0,0.0,0.07627118644067797,0.07627118644067797,0.07627118644067797,0.036723163841807904,0.11016949152542373,0.0976586357142867,0.03898305084745763,0.19491525423728814,0.13267109823444367,0.023728813559322035,0.23728813559322035,0.1467578997598597,0.10540481293854977
6,1.0,0.2,0.0,0.1,0.0,0.1,0.0,0.07627118644067797,0.07627118644067797,0.07627118644067797,0.02824858757062147,0.0847457627118644,0.08161804875908014,0.03389830508474576,0.1694915254237288,0.11700189899821045,0.023728813559322035,0.23728813559322035,0.13928951969592007,0.10058749008566242
7,1.0,0.5,0.3,0.2,0.05,0.0,0.05,0.09322033898305085,0.09322033898305085,0.09322033898305085,0.04519774011299435,0.13559322033898305,0.11662592802663488,0.04067796610169491,0.2033898305084746,0.1443387878675818,0.023728813559322035,0.23728813559322035,0.15641360776954866,0.11488600565719514
8,1.0,0.3,0.1,0.2,0.05,0.2,0.05,0.0847457627118644,0.0847457627118644,0.0847457627118644,0.036723163841807904,0.11016949152542373,0.09856720130145304,0.03898305084745763,0.19491525423728814,0.13395105154058334,0.023728813559322035,0.23728813559322035,0.14838312688228997,0.10809228649919696
9,1.0,0.3,0.1,0.0,0.2,0.1,0.05,0.1016949152542373,0.1016949152542373,0.1016949152542373,0.04519774011299435,0.13559322033898305,0.1208632161622281,0.04067796610169491,0.2033898305084746,0.14931885144112164,0.023728813559322035,0.23728813559322035,0.16073222180733657,0.11851616463821753
10,1.0,0.3,0.0,0.2,0.0,0.0,0.1,0.0847457627118644,0.0847457627118644,0.0847457627118644,0.033898305084745756,0.1016949152542373,0.09432991316585981,0.037288135593220334,0.1864406779661017,0.1297137634049901,0.023728813559322035,0.23728813559322035,0.14669694040486608,0.10676765795526245
