group_level,group_value,query_count,raw_covered_count,raw_missing_count,raw_coverage_rate,hit_at_1_count,hit_at_3_count,hit_at_5_count,hit_at_10_count,hit_at_10_rate,avg_raw_candidate_count,diagnosis
campaign_activity_type,현장방문,18,0,18,0.0,0,0,0,0,0.0,42.05555555555556,candidate generation 병목이 큼
campaign_activity_type,지역상권방문,25,17,8,0.68,3,10,14,17,0.68,41.8,후보군 coverage와 reranking이 상대적으로 양호
campaign_activity_type,방문인사,9,1,8,0.1111111111111111,1,1,1,1,0.1111111111111111,42.44444444444444,candidate generation 병목이 큼
campaign_activity_type,체육행사,6,0,6,0.0,0,0,0,0,0.0,38.833333333333336,candidate generation 병목이 큼
campaign_activity_type,복지현장방문,4,0,4,0.0,0,0,0,0,0.0,21.25,candidate generation 병목이 큼
campaign_activity_type,기념행사,3,1,2,0.3333333333333333,1,1,1,1,0.3333333333333333,39.666666666666664,후보군 coverage와 reranking이 상대적으로 양호
campaign_activity_type,거리인사,2,0,2,0.0,0,0,0,0,0.0,50.0,candidate generation 병목이 큼
campaign_activity_type,정책간담회,1,0,1,0.0,0,0,0,0,0.0,50.0,candidate generation 병목이 큼
campaign_activity_type,종교행사,1,0,1,0.0,0,0,0,0,0.0,50.0,candidate generation 병목이 큼
campaign_activity_type,퇴근인사,1,0,1,0.0,0,0,0,0,0.0,50.0,candidate generation 병목이 큼
district,송파구,6,1,5,0.16666666666666666,0,0,1,1,0.16666666666666666,38.0,candidate generation 병목이 큼
district,영등포구,6,2,4,0.3333333333333333,0,1,2,2,0.3333333333333333,32.166666666666664,후보군 coverage와 reranking이 상대적으로 양호
district,노원구,5,1,4,0.2,0,1,1,1,0.2,45.0,candidate generation 병목이 큼
district,양천구,4,0,4,0.0,0,0,0,0,0.0,50.0,candidate generation 병목이 큼
district,성동구,4,1,3,0.25,0,0,1,1,0.25,26.75,candidate generation 병목이 큼
district,중구,4,1,3,0.25,1,1,1,1,0.25,43.75,candidate generation 병목이 큼
district,강동구,3,0,3,0.0,0,0,0,0,0.0,50.0,candidate generation 병목이 큼
district,서초구,3,0,3,0.0,0,0,0,0,0.0,50.0,candidate generation 병목이 큼
district,성북구,3,0,3,0.0,0,0,0,0,0.0,41.333333333333336,candidate generation 병목이 큼
district,중랑구,3,0,3,0.0,0,0,0,0,0.0,50.0,candidate generation 병목이 큼
district,마포구,3,1,2,0.3333333333333333,0,1,1,1,0.3333333333333333,31.0,후보군 coverage와 reranking이 상대적으로 양호
district,종로구,3,1,2,0.3333333333333333,0,0,0,1,0.3333333333333333,43.0,후보군 coverage와 reranking이 상대적으로 양호
district,동대문구,2,0,2,0.0,0,0,0,0,0.0,37.0,candidate generation 병목이 큼
district,강서구,3,2,1,0.6666666666666666,1,1,2,2,0.6666666666666666,38.333333333333336,후보군 coverage와 reranking이 상대적으로 양호
district,광진구,3,2,1,0.6666666666666666,1,2,2,2,0.6666666666666666,48.0,후보군 coverage와 reranking이 상대적으로 양호
district,관악구,2,1,1,0.5,0,0,0,1,0.5,50.0,후보군 coverage와 reranking이 상대적으로 양호
district,구로구,2,1,1,0.5,0,1,1,1,0.5,14.0,후보군 coverage와 reranking이 상대적으로 양호
district,서대문구,2,1,1,0.5,0,1,1,1,0.5,36.5,후보군 coverage와 reranking이 상대적으로 양호
district,강남구,1,0,1,0.0,0,0,0,0,0.0,50.0,candidate generation 병목이 큼
district,광화문,1,0,1,0.0,0,0,0,0,0.0,50.0,candidate generation 병목이 큼
district,금천구,1,0,1,0.0,0,0,0,0,0.0,50.0,candidate generation 병목이 큼
district,용산구,1,0,1,0.0,0,0,0,0,0.0,50.0,candidate generation 병목이 큼
district,은평구,1,0,1,0.0,0,0,0,0,0.0,50.0,candidate generation 병목이 큼
district,동작구,3,3,0,1.0,1,2,2,3,1.0,50.0,후보군 coverage와 reranking이 상대적으로 양호
district,강북구,1,1,0,1.0,1,1,1,1,1.0,13.0,후보군 coverage와 reranking이 상대적으로 양호
overall,ALL,70,19,51,0.2714285714285714,5,12,16,19,0.2714285714285714,41.01428571428571,candidate generation 병목이 큼
place_type,공원,11,0,11,0.0,0,0,0,0,0.0,50.0,candidate generation 병목이 큼
place_type,골목상권,10,3,7,0.3,0,1,2,3,0.3,39.1,후보군 coverage와 reranking이 상대적으로 양호
place_type,전통시장,21,15,6,0.7142857142857143,4,10,13,15,0.7142857142857143,40.19047619047619,후보군 coverage와 reranking이 상대적으로 양호
place_type,체육시설,6,0,6,0.0,0,0,0,0,0.0,32.833333333333336,candidate generation 병목이 큼
place_type,복지시설,5,0,5,0.0,0,0,0,0,0.0,22.0,candidate generation 병목이 큼
place_type,정책현장,5,0,5,0.0,0,0,0,0,0.0,43.0,candidate generation 병목이 큼
place_type,노동현장,4,0,4,0.0,0,0,0,0,0.0,42.5,candidate generation 병목이 큼
place_type,교통거점,3,0,3,0.0,0,0,0,0,0.0,50.0,candidate generation 병목이 큼
place_type,재개발/도시개발현장,3,0,3,0.0,0,0,0,0,0.0,50.0,candidate generation 병목이 큼
place_type,종교시설,1,0,1,0.0,0,0,0,0,0.0,50.0,candidate generation 병목이 큼
place_type,어린이/가족시설,1,1,0,1.0,1,1,1,1,1.0,44.0,후보군 coverage와 reranking이 상대적으로 양호
