district,total_gold_count,missing_count,missing_ratio_among_group,missing_ratio_among_missing,raw_coverage_count,raw_coverage_rate,hit_at_10_count,hit_at_10_rate,diagnosis
송파구,6,5,0.8333333333333334,0.09803921568627451,1,0.16666666666666666,1,0.16666666666666666,후보군 coverage 취약 자치구
영등포구,6,4,0.6666666666666666,0.0784313725490196,2,0.3333333333333333,2,0.3333333333333333,일부 장소 유형 보강 필요
노원구,5,4,0.8,0.0784313725490196,1,0.2,1,0.2,후보군 coverage 취약 자치구
양천구,4,4,1.0,0.0784313725490196,0,0.0,0,0.0,후보군 coverage 취약 자치구
성동구,4,3,0.75,0.058823529411764705,1,0.25,1,0.25,후보군 coverage 취약 자치구
중구,4,3,0.75,0.058823529411764705,1,0.25,1,0.25,후보군 coverage 취약 자치구
강동구,3,3,1.0,0.058823529411764705,0,0.0,0,0.0,후보군 coverage 취약 자치구
서초구,3,3,1.0,0.058823529411764705,0,0.0,0,0.0,후보군 coverage 취약 자치구
성북구,3,3,1.0,0.058823529411764705,0,0.0,0,0.0,후보군 coverage 취약 자치구
중랑구,3,3,1.0,0.058823529411764705,0,0.0,0,0.0,후보군 coverage 취약 자치구
마포구,3,2,0.6666666666666666,0.0392156862745098,1,0.3333333333333333,1,0.3333333333333333,일부 장소 유형 보강 필요
종로구,3,2,0.6666666666666666,0.0392156862745098,1,0.3333333333333333,1,0.3333333333333333,일부 장소 유형 보강 필요
동대문구,2,2,1.0,0.0392156862745098,0,0.0,0,0.0,후보군 coverage 취약 자치구
강서구,3,1,0.3333333333333333,0.0196078431372549,2,0.6666666666666666,2,0.6666666666666666,일부 장소 유형 보강 필요
광진구,3,1,0.3333333333333333,0.0196078431372549,2,0.6666666666666666,2,0.6666666666666666,일부 장소 유형 보강 필요
관악구,2,1,0.5,0.0196078431372549,1,0.5,1,0.5,일부 장소 유형 보강 필요
구로구,2,1,0.5,0.0196078431372549,1,0.5,1,0.5,일부 장소 유형 보강 필요
서대문구,2,1,0.5,0.0196078431372549,1,0.5,1,0.5,일부 장소 유형 보강 필요
강남구,1,1,1.0,0.0196078431372549,0,0.0,0,0.0,후보군 coverage 취약 자치구
광화문,1,1,1.0,0.0196078431372549,0,0.0,0,0.0,후보군 coverage 취약 자치구
금천구,1,1,1.0,0.0196078431372549,0,0.0,0,0.0,후보군 coverage 취약 자치구
용산구,1,1,1.0,0.0196078431372549,0,0.0,0,0.0,후보군 coverage 취약 자치구
은평구,1,1,1.0,0.0196078431372549,0,0.0,0,0.0,후보군 coverage 취약 자치구
동작구,3,0,0.0,0.0,3,1.0,3,1.0,일부 장소 유형 보강 필요
강북구,1,0,0.0,0.0,1,1.0,1,1.0,일부 장소 유형 보강 필요
