query_id,rank,recommended_place_name,recommended_district,recommended_place_type,baseline_score,raw_rank,district_bonus,place_type_bonus,time_bonus,context_bonus,target_bonus,rank_bonus,final_variant_score,score
2026-03-10_17:40_중구,1,남대문시장,중구,market,0.7056,1,1.0,1.0,0.8,0.35,0.75,1.0,1.7431,1.7431
2026-03-10_17:40_중구,2,평화시장,중구,market,0.5528,2,1.0,1.0,0.8,0.35,0.75,0.979592,1.58928,1.58928
2026-03-10_17:40_중구,3,삼익패션타운,중구,market,0.5222,3,1.0,1.0,0.8,0.35,0.75,0.959184,1.557659,1.557659
2026-03-10_17:40_중구,4,동평화시장,중구,market,0.5126,4,1.0,1.0,0.8,0.35,0.75,0.938776,1.547039,1.547039
2026-03-10_17:40_중구,5,청평화시장,중구,market,0.5024,5,1.0,1.0,0.8,0.35,0.75,0.918367,1.535818,1.535818
2026-03-10_17:40_중구,6,신평화패션타운,중구,market,0.4993,6,1.0,1.0,0.8,0.35,0.75,0.897959,1.531698,1.531698
2026-03-10_17:40_중구,7,방산시장,중구,market,0.4988,7,1.0,1.0,0.8,0.35,0.75,0.877551,1.530178,1.530178
2026-03-10_17:40_중구,8,광희패션몰,중구,market,0.4973,8,1.0,1.0,0.8,0.35,0.75,0.857143,1.527657,1.527657
2026-03-10_17:40_중구,9,통일상가,중구,market,0.4936,9,1.0,1.0,0.8,0.35,0.75,0.836735,1.522937,1.522937
2026-03-10_17:40_중구,10,중부시장,중구,market,0.4895,10,1.0,1.0,0.8,0.35,0.75,0.816327,1.517816,1.517816
2026-03-11_15:10_영등포구,1,영등포유통상가,영등포구,market,0.5381,4,1.0,1.0,0.8,0.35,0.75,0.938776,1.572539,1.572539
2026-03-11_15:10_영등포구,2,영등포전통시장,영등포구,market,0.4708,7,1.0,1.0,0.8,0.53,0.75,0.877551,1.538178,1.538178
