query_id,rank,recommended_place_name,recommended_district,recommended_place_type,candidate_source,baseline_score,raw_rank,district_match_score,place_type_score,time_context_score,voter_target_score,floating_population_score,worker_population_score,transit_access_score,market_commercial_score,welfare_policy_score,campaign_context_score,candidate_style_score,novelty_diversity_score,rank_score,semantic_similarity,composite_similarity,final_score,score,exact_place_hit,explanation
2026-03-10_17:40_중구,1,남대문시장,중구,market,market,0.7056,1,1.0,1.0,0.85,0.9,0.81558,0.4,0.25,1.0,0.0,0.791667,0.158008,0.02,1.0,0.275899,0.86384,1.719647,1.719647,False,"이 장소는 중구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-10_17:40_중구,2,평화시장,중구,market,market,0.5528,2,1.0,1.0,0.85,0.9,0.73154,0.4,0.25,1.0,0.0,0.791667,0.158008,0.02,0.989899,0.275899,0.86384,1.562342,1.562342,False,"이 장소는 중구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-10_17:40_중구,3,삼익패션타운,중구,market,market,0.5222,3,1.0,1.0,0.85,0.9,0.71471,0.4,0.25,1.0,0.0,0.791667,0.158008,0.02,0.979798,0.275899,0.86384,1.530598,1.530598,False,"이 장소는 중구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-10_17:40_중구,4,동평화시장,중구,market,market,0.5126,4,1.0,1.0,0.85,0.9,0.70943,0.4,0.25,1.0,0.0,0.791667,0.158008,0.02,0.969697,0.275899,0.86384,1.520431,1.520431,False,"이 장소는 중구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-10_17:40_중구,5,청평화시장,중구,market,market,0.5024,5,1.0,1.0,0.85,0.9,0.70382,0.4,0.25,1.0,0.0,0.791667,0.158008,0.02,0.959596,0.275899,0.86384,1.509647,1.509647,False,"이 장소는 중구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-10_17:40_중구,6,신평화패션타운,중구,market,market,0.4993,6,1.0,1.0,0.85,0.9,0.702115,0.4,0.25,1.0,0.0,0.791667,0.158008,0.02,0.949495,0.275899,0.86384,1.506159,1.506159,False,"이 장소는 중구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-10_17:40_중구,7,방산시장,중구,market,market,0.4988,7,1.0,1.0,0.85,0.9,0.70184,0.4,0.25,1.0,0.0,0.791667,0.158008,0.02,0.939394,0.275899,0.86384,1.505342,1.505342,False,"이 장소는 중구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-10_17:40_중구,8,광희패션몰,중구,market,market,0.4973,8,1.0,1.0,0.85,0.9,0.701015,0.4,0.25,1.0,0.0,0.791667,0.158008,0.02,0.929293,0.275899,0.86384,1.503498,1.503498,False,"이 장소는 중구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-10_17:40_중구,9,통일상가,중구,market,market,0.4936,9,1.0,1.0,0.85,0.9,0.69898,0.4,0.25,1.0,0.0,0.791667,0.158008,0.02,0.919192,0.275899,0.86384,1.499393,1.499393,False,"이 장소는 중구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-10_17:40_중구,10,중부시장,중구,market,market,0.4895,10,1.0,1.0,0.85,0.9,0.696725,0.4,0.25,1.0,0.0,0.791667,0.158008,0.02,0.909091,0.275899,0.86384,1.494877,1.494877,False,"이 장소는 중구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
