gold_id,candidate_name,date,day_of_week,d_day,time,district,place_name,address,event_title,place_type,campaign_activity_type,online_offline,target_voter_group,context_tags,gold_label_0_3,gold_label_reason,use_for_place_recommendation,use_for_message_recommendation,source_image,time_slot,normalized_place_key,is_strong_positive
GWON_006,정원오,2026-03-10,화,D-85,17:40,중구,황학시장 입구,확인 필요,"""지역방문"" 하나씩 중구 착착!",전통시장,지역상권방문,오프라인,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,TRUE,TRUE,정원오20260310.jpg,afternoon,황학시장입구,True
GWON_009,정원오,2026-03-11,수,D-84,15:10,영등포구,영등포전통시장 남문,서울 영등포구 영등포동5가,하나씩 영등포 착착!,전통시장,지역상권방문,오프라인,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;영등포구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,TRUE,TRUE,정원오20260311.jpg,afternoon,영등포전통시장남문,True
GWON_010,정원오,2026-03-11,수,D-84,16:20,영등포구,대림중앙시장,대림역 12번출구,하나씩 영등포 착착!,전통시장,지역상권방문,오프라인,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;영등포구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,TRUE,TRUE,정원오20260311.jpg,afternoon,대림중앙시장,True
GWON_015,정원오,2026-03-12,목,D-83,16:00,강서구,방신전통시장,서울특별시 강서구 방화동로16길 31 방신전통시장 입구,하나씩 강서 착착 - 방신전통시장,전통시장,지역상권방문,오프라인,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;강서구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,TRUE,TRUE,정원오20260312.jpg,afternoon,방신전통시장,True
GWON_016,정원오,2026-03-12,목,D-83,17:25,강서구,남부골목시장,서울특별시 강서구 화곡동 943-7 남부골목시장,하나씩 강서 착착 - 남부골목시장,골목상권,지역상권방문,오프라인,상인;지역주민;생활권 유권자,골목상권;지역상권방문;저녁;강서구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,TRUE,TRUE,정원오20260312.jpg,afternoon,남부골목시장,True
GWON_017,정원오,2026-03-13,금,D-82,14:10,노원구,상계중앙시장,서울특별시 노원구 상계로 147,하나씩 노원 착착 - 상계중앙시장,전통시장,지역상권방문,오프라인,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;노원구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,TRUE,TRUE,정원오20260313.jpg,afternoon,상계중앙시장,True
GWON_018,정원오,2026-03-13,금,D-82,14:50,노원구,구립수락노인종합복지관,서울특별시 노원구 수락산로 214,하나씩 노원 착착 - 구립수락노인종합복지관,복지시설,복지현장방문,오프라인,노년층;복지수요자;지역주민,복지시설;복지현장방문;오후;노원구;복지;노년층,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,TRUE,TRUE,정원오20260313.jpg,afternoon,구립수락노인종합복지관,True
GWON_019,정원오,2026-03-13,금,D-82,15:30,노원구,공릉도깨비시장,서울특별시 노원구 동일로 1032,하나씩 노원 착착 - 공릉도깨비시장,전통시장,지역상권방문,오프라인,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;노원구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,TRUE,TRUE,정원오20260313.jpg,afternoon,공릉도깨비시장,True
GWON_021,정원오,2026-03-16,월,D-79,13:00,구로구,남구로시장,서울시 구로구 구로동로 138,하나씩 구로 착착 - 남구로시장,전통시장,지역상권방문,오프라인,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;구로구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,TRUE,TRUE,정원오20260316.jpg,afternoon,남구로시장,True
GWON_022,정원오,2026-03-16,월,D-79,14:00,구로구,궁동종합사회복지관,서울시 구로구 오리로22길 5,하나씩 구로 착착 - 궁동종합사회복지관,복지시설,복지현장방문,오프라인,노년층;복지수요자;지역주민,복지시설;복지현장방문;오후;구로구;복지;노년층,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,TRUE,TRUE,정원오20260316.jpg,afternoon,궁동종합사회복지관,True
GWON_025,정원오,2026-03-17,화,D-78,14:00,마포구,"망원시장, 월드컵시장",서울시 마포구 월드컵로 13길 64,"하나씩 마포 착착 - 망원시장, 월드컵시장",전통시장,지역상권방문,오프라인,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;마포구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,TRUE,TRUE,정원오20260317.jpg,afternoon,망원시장월드컵시장,True
GWON_026,정원오,2026-03-19,목,D-76,10:00,송파구,잠실학생체육관,송파구 올림픽로 25,2026 서울시 환경공무관 한마음 축제,체육시설,체육행사,오프라인,생활체육 참여자;지역주민;일반시민,체육시설;체육행사;오전;송파구,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,TRUE,TRUE,정원오20260319.jpg,morning,잠실학생체육관,True
GWON_031,정원오,2026-03-24,화,D-71,17:00,광화문,세종대로 사거리 광화문 광장,세종대로 사거리 광화문 광장,퇴근인사,교통거점,퇴근인사,오프라인,직장인;퇴근길 유권자;일반시민,교통거점;퇴근인사;저녁;광화문;퇴근시간,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,TRUE,TRUE,정원오20260324.jpg,afternoon,세종대로사거리광화문광장,True
GWON_032,정원오,2026-03-24,화,D-71,17:40,종로구,세종마을 음식문화거리,세종마을 음식문화거리,골목상권 방문,골목상권,지역상권방문,오프라인,상인;지역주민;생활권 유권자,골목상권;지역상권방문;저녁;종로구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,TRUE,TRUE,정원오20260324.jpg,afternoon,세종마을음식문화거리,True
GWON_034,정원오,2026-03-25,수,D-70,17:20,광진구,중곡제일골목시장,서울특별시 광진구 중곡동 221-16,하나씩 광진 착착 - 중곡제일골목시장,골목상권,지역상권방문,오프라인,상인;지역주민;생활권 유권자,골목상권;지역상권방문;저녁;광진구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,TRUE,TRUE,정원오20260325.jpg,afternoon,중곡제일골목시장,True
GWON_035,정원오,2026-03-25,수,D-70,18:15,광진구,건대 맛의거리,서울특별시 광진구 동일로22길,하나씩 광진 착착 - 건대 맛의거리,골목상권,지역상권방문,오프라인,상인;지역주민;생활권 유권자,골목상권;지역상권방문;저녁;광진구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,TRUE,TRUE,정원오20260325.jpg,evening,건대맛의거리,True
GWON_037,정원오,2026-03-26,목,D-69,16:00,관악구,도림천,서울특별시 관악구 남부순환로 1588,하나씩 관악 착착 - 도림천 방문인사,공원,방문인사,오프라인,지역주민;가족단위;일반시민,공원;방문인사;오후;관악구,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,TRUE,TRUE,정원오20260326.jpg,afternoon,도림천,True
GWON_038,정원오,2026-03-26,목,D-69,16:15,관악구,신원시장,서울특별시 관악구 신원로 21,하나씩 관악 착착 - 신원시장 방문인사,전통시장,지역상권방문,오프라인,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;관악구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,TRUE,TRUE,정원오20260326.jpg,afternoon,신원시장,True
GWON_041,정원오,2026-03-28,토,D-67,12:50,성동구,응봉산 팔각정,응봉산 팔각정,응봉산 방문인사,공원,방문인사,오프라인,지역주민;가족단위;일반시민,공원;방문인사;오후;성동구,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,TRUE,TRUE,정원오20260328.jpg,afternoon,응봉산팔각정,True
GWON_045,정원오,2026-03-30,월,D-65,11:00,동작구,노량진수산시장,서울특별시 동작구 노들로2길 3,노량진수산시장 방문인사,전통시장,지역상권방문,오프라인,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오전;동작구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,TRUE,TRUE,정원오20260330.jpg,morning,노량진수산시장,True
GWON_046,정원오,2026-03-31,화,D-64,11:30,동대문구,장안동 벚꽃길,장안벚꽃길북카페 - 동대문구 장안벚꽃로 132,장안동 벚꽃길 거리인사,공원,거리인사,오프라인,지역주민;가족단위;일반시민,공원;거리인사;오전;동대문구,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,TRUE,TRUE,정원오20260331.jpg,morning,장안동벚꽃길,True
GWON_048,정원오,2026-04-02,목,D-62,16:00,양천구,파리공원,서울특별시 양천구 목동동로 363,양천 하나씩 착착 - 파리공원,공원,방문인사,오프라인,지역주민;가족단위;일반시민,공원;방문인사;오후;양천구,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,TRUE,TRUE,정원오20260402.jpg,afternoon,파리공원,True
GWON_052,정원오,2026-04-04,토,D-60,10:00,노원구,마들스포츠타운,마들스포츠타운,노원구민체육대회,체육시설,체육행사,오프라인,생활체육 참여자;지역주민;일반시민,체육시설;체육행사;오전;노원구,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,TRUE,TRUE,정원오20260404.jpg,morning,마들스포츠타운,True
GWON_054,정원오,2026-04-05,일,D-59,17:40,양천구,양재천 수변무대 일대,양재천 수변무대 일대,양재천 벚꽃 등축제 방문인사,공원,방문인사,오프라인,지역주민;가족단위;일반시민,공원;방문인사;저녁;양천구,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,TRUE,TRUE,정원오20260405.jpg,afternoon,양재천수변무대일대,True
GWON2_003,정원오,2026-04-06,월,D-58,16:30,강북구,수유시장,서울특별시 강북구 도봉로67길 34,강북 하나씩 착착 - 수유시장 방문인사,전통시장,방문인사,오프라인,"상인,지역주민","전통시장,지역상권,방문인사,오후",3,실제 오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 평가의 강한 정답으로 적합하다.,TRUE,TRUE,정원오20260406.jpg,afternoon,수유시장,True
GWON2_004,정원오,2026-04-06,월,D-58,18:00,성북구,성북천 상점가,서울특별시 성북구 동소문로 2,성북 하나씩 착착 - (갑)성북천 상점가,골목상권,지역상권방문,오프라인,"상인,지역주민,직장인","골목상권,상점가,퇴근시간,지역상권",3,실제 오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 평가의 강한 정답으로 적합하다.,TRUE,TRUE,정원오20260406.jpg,evening,성북천상점가,True
GWON2_008,정원오,2026-04-07,화,D-57,15:40,동작구,남성사계시장,동작구 동작대로 129,동작 하나씩 착착 - (을) 남성사계시장,전통시장,지역상권방문,오프라인,"상인,지역주민","전통시장,지역상권,오후",3,실제 오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 평가의 강한 정답으로 적합하다.,TRUE,TRUE,정원오20260407.jpg,afternoon,남성사계시장,True
GWON2_009,정원오,2026-04-07,화,D-57,16:40,동작구,성대전통시장,동작구 성대로 14,동작 하나씩 착착 - (갑) 성대전통시장,전통시장,지역상권방문,오프라인,"상인,지역주민","전통시장,지역상권,오후",3,실제 오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 평가의 강한 정답으로 적합하다.,TRUE,TRUE,정원오20260407.jpg,afternoon,성대전통시장,True
GWON2_013,정원오,2026-04-08,수,D-56,17:00,서대문구,영천시장,서대문구 영천동 268-5,서대문 하나씩 착착 - (갑) 영천시장,전통시장,지역상권방문,오프라인,"상인,지역주민,직장인","전통시장,지역상권,퇴근시간",3,실제 오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 평가의 강한 정답으로 적합하다.,TRUE,TRUE,정원오20260408.jpg,afternoon,영천시장,True
GWON2_014,정원오,2026-04-08,수,D-56,17:55,서대문구,홍제천 인공폭포,서대문구 홍은동 431,서대문 하나씩 착착 - (을) 홍제천 인공폭포,공원,방문인사,오프라인,"지역주민,일반시민","공원,하천,퇴근시간,지역주민",3,실제 오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 평가의 강한 정답으로 적합하다.,TRUE,TRUE,정원오20260408.jpg,afternoon,홍제천인공폭포,True
GWON2_017,정원오,2026-04-09,목,D-55,15:00,중랑구,동원시장,서울특별시 중랑구 상봉로 49 (동원전통시장 동측 입구),중랑 하나씩 착착! - 중랑(갑) 동원시장,전통시장,지역상권방문,오프라인,"상인,지역주민","전통시장,지역상권,오후",3,실제 오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 평가의 강한 정답으로 적합하다.,TRUE,TRUE,정원오20260409.jpg,afternoon,동원시장,True
GWON2_018,정원오,2026-04-09,목,D-55,15:50,중랑구,우림시장,서울특별시 중랑구 용마산로115길 47 (우림시장 입구),중랑 하나씩 착착! - 중랑(을) 우림시장,전통시장,지역상권방문,오프라인,"상인,지역주민","전통시장,지역상권,오후",3,실제 오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 평가의 강한 정답으로 적합하다.,TRUE,TRUE,정원오20260409.jpg,afternoon,우림시장,True
GWON2_027,정원오,2026-04-15,수,D-49,10:55,종로구,북촌의 봄,서울 종로구 북촌로3길 75-4,정원오가 간다: 찾아가는 서울人터뷰,골목상권,현장방문,오프라인,"지역주민,일반시민","인터뷰,현장방문,지역주민,오전",3,실제 오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 평가의 강한 정답으로 적합하다.,TRUE,TRUE,정원오20260415.jpg,morning,북촌의봄,True
GWON2_031,정원오,2026-04-17,금,D-47,07:30,송파구,가락몰 농수산물시장,서울 송파구 양재대로 932,정원오의 찾아가는 현장: 가락농수산물시장편,전통시장,현장방문,오프라인,"상인,지역주민","전통시장,농수산물시장,상인,오전",3,실제 오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 평가의 강한 정답으로 적합하다.,TRUE,TRUE,정원오20260417.jpg,morning,가락몰농수산물시장,True
GWON2_035,정원오,2026-04-17,금,D-47,15:30,강동구,명일동 싱크홀 현장,서울 강동구 통일로 807,정원오의 찾아가는 현장: 강동구편① - 명일동 싱크홀 사고지점,정책현장,현장방문,오프라인,"지역주민,일반시민","현장방문,안전,지역현안,오후",3,실제 오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 평가의 강한 정답으로 적합하다.,TRUE,TRUE,정원오20260417.jpg,afternoon,명일동싱크홀현장,True
GWON2_036,정원오,2026-04-17,금,D-47,16:00,강동구,고덕비즈밸리,서울 강동구 고덕비즈밸리로 38,정원오의 찾아가는 현장: 강동구편② - 고덕비즈밸리,정책현장,현장방문,오프라인,"직장인,지역주민","현장방문,산업,직장인,오후",3,실제 오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 평가의 강한 정답으로 적합하다.,TRUE,TRUE,정원오20260417.jpg,afternoon,고덕비즈밸리,True
GWON2_037,정원오,2026-04-17,금,D-47,16:35,강동구,고덕비즈밸리역 공사현장,서울 강동구 아리수로 279 맞은편,정원오의 찾아가는 현장: 강동구편③ - 고덕비즈밸리역 공사현장,교통거점,현장방문,오프라인,"직장인,지역주민","교통,공사현장,현장방문,오후",3,실제 오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 평가의 강한 정답으로 적합하다.,TRUE,TRUE,정원오20260417.jpg,afternoon,고덕비즈밸리역공사현장,True
GWON2_038,정원오,2026-04-19,일,D-45,14:40,노원구,불암산철쭉동산,서울 노원구 한글비석로 326,2026 불암산 철쭉제 방문,공원,방문인사,오프라인,"지역주민,일반시민","공원,축제,주말,지역주민",3,실제 오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 평가의 강한 정답으로 적합하다.,TRUE,TRUE,정원오20260419.jpg,afternoon,불암산철쭉동산,True
GWON2_046,정원오,2026-04-22,수,D-42,18:00,은평구,불광천,은평구 증산로 476,은평 하나씩 착착!,공원,거리인사,오프라인,"지역주민,직장인,일반시민","하천,퇴근시간,거리인사,지역주민",3,실제 오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 평가의 강한 정답으로 적합하다.,TRUE,TRUE,정원오20260422.jpg,evening,불광천,True
