zip_path,member_name,candidate_name,date,output_path,status,note
gold set수작업\정원오_일정_20260517~20260525.zip,정원오20260517.jpg,정원오,2026-05-17,data\raw\schedules\정원오\20260517\정원오20260517.jpg,extracted,
gold set수작업\정원오_일정_20260517~20260525.zip,정원오20260518.jpg,정원오,2026-05-18,data\raw\schedules\정원오\20260518\정원오20260518.jpg,extracted,
gold set수작업\정원오_일정_20260517~20260525.zip,정원오20260519.jpg,정원오,2026-05-19,data\raw\schedules\정원오\20260519\정원오20260519.jpg,extracted,
gold set수작업\정원오_일정_20260517~20260525.zip,정원오20260520.jpg,정원오,2026-05-20,data\raw\schedules\정원오\20260520\정원오20260520.jpg,extracted,
gold set수작업\정원오_일정_20260517~20260525.zip,정원오20260521.jpg,정원오,2026-05-21,data\raw\schedules\정원오\20260521\정원오20260521.jpg,extracted,
gold set수작업\정원오_일정_20260517~20260525.zip,정원오20260522.jpg,정원오,2026-05-22,data\raw\schedules\정원오\20260522\정원오20260522.jpg,extracted,
gold set수작업\정원오_일정_20260517~20260525.zip,정원오20260523.jpg,정원오,2026-05-23,data\raw\schedules\정원오\20260523\정원오20260523.jpg,extracted,
gold set수작업\정원오_일정_20260517~20260525.zip,정원오20260524.jpg,정원오,2026-05-24,data\raw\schedules\정원오\20260524\정원오20260524.jpg,extracted,
gold set수작업\정원오_일정_20260517~20260525.zip,정원오20260525.jpg,정원오,2026-05-25,data\raw\schedules\정원오\20260525\정원오20260525.jpg,extracted,
gold set수작업\오세훈_일정_20260427~20260525.zip,오세훈0427.jpg,오세훈,2026-04-27,data\raw\schedules\오세훈\20260427\오세훈0427.jpg,extracted,
gold set수작업\오세훈_일정_20260427~20260525.zip,오세훈0428.jpg,오세훈,2026-04-28,data\raw\schedules\오세훈\20260428\오세훈0428.jpg,extracted,
gold set수작업\오세훈_일정_20260427~20260525.zip,오세훈0429.jpg,오세훈,2026-04-29,data\raw\schedules\오세훈\20260429\오세훈0429.jpg,extracted,
gold set수작업\오세훈_일정_20260427~20260525.zip,오세훈0430.jpg,오세훈,2026-04-30,data\raw\schedules\오세훈\20260430\오세훈0430.jpg,extracted,
gold set수작업\오세훈_일정_20260427~20260525.zip,오세훈0501.jpg,오세훈,2026-05-01,data\raw\schedules\오세훈\20260501\오세훈0501.jpg,extracted,
gold set수작업\오세훈_일정_20260427~20260525.zip,오세훈0502.jpg,오세훈,2026-05-02,data\raw\schedules\오세훈\20260502\오세훈0502.jpg,extracted,
gold set수작업\오세훈_일정_20260427~20260525.zip,오세훈0503.jpg,오세훈,2026-05-03,data\raw\schedules\오세훈\20260503\오세훈0503.jpg,extracted,
gold set수작업\오세훈_일정_20260427~20260525.zip,오세훈0504.jpg,오세훈,2026-05-04,data\raw\schedules\오세훈\20260504\오세훈0504.jpg,extracted,
gold set수작업\오세훈_일정_20260427~20260525.zip,오세훈0505.jpg,오세훈,2026-05-05,data\raw\schedules\오세훈\20260505\오세훈0505.jpg,extracted,
gold set수작업\오세훈_일정_20260427~20260525.zip,오세훈0506.jpg,오세훈,2026-05-06,data\raw\schedules\오세훈\20260506\오세훈0506.jpg,extracted,
gold set수작업\오세훈_일정_20260427~20260525.zip,오세훈0507.jpg,오세훈,2026-05-07,data\raw\schedules\오세훈\20260507\오세훈0507.jpg,extracted,
gold set수작업\오세훈_일정_20260427~20260525.zip,오세훈0508.jpg,오세훈,2026-05-08,data\raw\schedules\오세훈\20260508\오세훈0508.jpg,extracted,
gold set수작업\오세훈_일정_20260427~20260525.zip,오세훈0509.jpg,오세훈,2026-05-09,data\raw\schedules\오세훈\20260509\오세훈0509.jpg,extracted,
gold set수작업\오세훈_일정_20260427~20260525.zip,오세훈0510.jpg,오세훈,2026-05-10,data\raw\schedules\오세훈\20260510\오세훈0510.jpg,extracted,
gold set수작업\오세훈_일정_20260427~20260525.zip,오세훈0511.jpg,오세훈,2026-05-11,data\raw\schedules\오세훈\20260511\오세훈0511.jpg,extracted,
gold set수작업\오세훈_일정_20260427~20260525.zip,오세훈0512.jpg,오세훈,2026-05-12,data\raw\schedules\오세훈\20260512\오세훈0512.jpg,extracted,
gold set수작업\오세훈_일정_20260427~20260525.zip,오세훈0513.jpg,오세훈,2026-05-13,data\raw\schedules\오세훈\20260513\오세훈0513.jpg,extracted,
gold set수작업\오세훈_일정_20260427~20260525.zip,오세훈0514.jpg,오세훈,2026-05-14,data\raw\schedules\오세훈\20260514\오세훈0514.jpg,extracted,
gold set수작업\오세훈_일정_20260427~20260525.zip,오세훈0515.jpg,오세훈,2026-05-15,data\raw\schedules\오세훈\20260515\오세훈0515.jpg,extracted,
gold set수작업\오세훈_일정_20260427~20260525.zip,오세훈0516.jpg,오세훈,2026-05-16,data\raw\schedules\오세훈\20260516\오세훈0516.jpg,extracted,
gold set수작업\오세훈_일정_20260427~20260525.zip,오세훈0517.jpg,오세훈,2026-05-17,data\raw\schedules\오세훈\20260517\오세훈0517.jpg,extracted,
gold set수작업\오세훈_일정_20260427~20260525.zip,오세훈0518.jpg,오세훈,2026-05-18,data\raw\schedules\오세훈\20260518\오세훈0518.jpg,extracted,
gold set수작업\오세훈_일정_20260427~20260525.zip,오세훈0519.jpg,오세훈,2026-05-19,data\raw\schedules\오세훈\20260519\오세훈0519.jpg,extracted,
